"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000179403",51.7878215776707,1.80029458794429,0.210277282703845,8.56152678404082,1.11382534672789e-17,2.39910613451423e-16,"VWA1","UP"
"ENSG00000231050",4.12110212557212,2.35838481242807,0.727189659803721,3.24314954239673,0.00118216145593428,0.00584090054124785,"GNB1-DT","UP"
"ENSG00000171621",1016.84597271951,1.62203439868566,0.0432613535263995,37.4938430369692,1.16045542775824e-307,1.21783350168629e-304,"SPSB1","UP"
"ENSG00000162460",12.783202707129,1.03316946103147,0.35225887592327,2.93298347223624,0.00335721763365409,0.0148415261174177,"TMEM82","UP"
"ENSG00000228549",6.23841693370237,-1.18783352653129,0.449241641923626,-2.6440859788622,0.00819118465776231,0.0322491617726407,"LINC03126","DOWN"
"ENSG00000189410",72.9768564010352,-1.04575230006384,0.183843356780355,-5.68827896954275,1.28326067418678e-08,1.35196844034513e-07,"SH2D5","DOWN"
"ENSG00000117643",49.0096597700155,-1.55697349634386,0.159634524103129,-9.75336322196821,1.7845606135036e-22,4.92841374109401e-21,"MAN1C1","DOWN"
"ENSG00000116329",5.79115673380488,1.81593069243387,0.547804907025417,3.31492228190211,0.000916686069090383,0.00466618158046816,"OPRD1","UP"
"ENSG00000160097",12.2606211291149,-1.68063954314591,0.50016496844816,-3.36017044208504,0.000778944010848886,0.00403784837633353,"FNDC5","DOWN"
"ENSG00000092850",4.12987200323597,-1.28260842777367,0.512746017978197,-2.5014498071211,0.0123685973569943,0.0459708864565918,"TEKT2","DOWN"
"ENSG00000174348",58.4033578650384,1.55638174447065,0.148364564143222,10.4902525307068,9.57720766560804e-26,3.10314670331622e-24,"PODN","UP"
"ENSG00000231252",4.07878171138187,1.43926519134748,0.487533052947019,2.95213869633551,0.00315581146265248,0.0140696904719153,"LOC101926964","UP"
"ENSG00000162595",26.0417734845254,-1.20658168693887,0.211379514671002,-5.70812970602583,1.14224362609098e-08,1.20947209063109e-07,"DIRAS3","DOWN"
"ENSG00000154027",180.270746080149,-1.72137228593723,0.0907666534505273,-18.9648094371516,3.33232800257077e-80,4.25322134922715e-78,"AK5","DOWN"
"ENSG00000173947",6.41224851326061,-1.16055802621322,0.417439523963642,-2.78018242066198,0.0054328370111036,0.0226398171497346,"CIMAP3","DOWN"
"ENSG00000183508",22.2857795120005,-1.18835758561884,0.301675662064561,-3.9391894509691,8.17573531055787e-05,0.00051669334230993,"TENT5C","DOWN"
"ENSG00000163154",2.37276444239379,-3.24001652436661,1.04354258822111,-3.1048244325991,0.00190391999063358,0.00897107723199511,"TNFAIP8L2","DOWN"
"ENSG00000027869",22.1527633803417,1.411405132714,0.408601610689602,3.45423291487265,0.000551860537619878,0.00295399420675531,"SH2D2A","UP"
"ENSG00000117152",246.521272765645,-1.53189144941863,0.0966871674316375,-15.8437928228868,1.55172281139774e-56,1.28000191734949e-54,"RGS4","DOWN"
"ENSG00000116132",142.044671014644,-1.34301518605338,0.171165123048516,-7.84631332676757,4.2844571489098e-15,7.70060851978174e-14,"PRRX1","DOWN"
"ENSG00000197959",23.278302242856,1.0553437753839,0.220595967056978,4.78405743071136,1.71791564008171e-06,1.41154529974526e-05,"DNM3","UP"
"ENSG00000116147",14.3083237506992,2.34013880464677,0.277111319674901,8.44476078202851,3.04668701491195e-17,6.38756023437145e-16,"TNR","UP"
"ENSG00000135842",701.745943757129,-1.19117574425893,0.0727346488558174,-16.3770054987164,2.79152233057312e-60,2.46410545909001e-58,"NIBAN1","DOWN"
"ENSG00000276600",3.12390573387884,-2.74672947619119,1.01909729655981,-2.69525734732434,0.00703342855863387,0.0283347121929183,"RAB7B","DOWN"
"ENSG00000174059",2163.57960277814,-1.33257029981587,0.0833519100228828,-15.9872797090077,1.5672686555767e-57,1.31580910683751e-55,"CD34","DOWN"
"ENSG00000196878",1824.92245294321,-1.02884804929435,0.0839322085602528,-12.2580838386466,1.52052951170697e-34,6.8225184028847e-33,"LAMB3","DOWN"
"ENSG00000123689",250.399326548147,-2.1680740243511,0.181556211543296,-11.9416130460184,7.1816762627514e-33,3.06234457343959e-31,"G0S2","DOWN"
"ENSG00000143476",172.124419729199,-1.00450705725416,0.0919121487111631,-10.9289911218468,8.37746180062694e-28,2.9305602484045e-26,"DTL","DOWN"
"ENSG00000092969",85.5529358031596,1.93867312111911,0.162433684305303,11.935166830762,7.76031466246309e-33,3.30162936878216e-31,"TGFB2","UP"
"ENSG00000185155",10.3010956106585,1.07276021116304,0.381196243586765,2.81419407775163,0.00488996961591171,0.0206416817976698,"MIXL1","UP"
"ENSG00000162849",12.4183649619412,1.29394829954254,0.301285864265827,4.29475276809161,1.74888121187686e-05,0.000124010383229557,"KIF26B","UP"
