"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000187583",54.6921228768942,2.40758393784858,0.186141095329313,12.934188087747,2.88656340909931e-38,3.90068224961443e-37,"PLEKHN1","UP"
"ENSG00000187642",11.1317310422511,1.97875713695209,0.439085767830361,4.50653899972585,6.5893578887466e-06,2.54021758790543e-05,"PERM1","UP"
"ENSG00000187608",2125.66452187179,4.49625473041291,0.214888041812213,20.9237084227428,3.25770010214078e-97,1.10522198939107e-95,"ISG15","UP"
"ENSG00000188157",16077.7972652838,1.27045971398965,0.0378775417578538,33.5412398753734,1.20815294533571e-246,1.6559289455327e-244,"AGRN","UP"
"ENSG00000186891",6.52710445635004,3.36611258251491,0.487887408012995,6.89936351549628,5.22360472937893e-12,3.00752239651663e-11,"TNFRSF18","UP"
"ENSG00000186827",151.75674240092,4.82189399247398,0.155513071236811,31.0063582059371,4.42517099130641e-211,4.45975426039813e-209,"TNFRSF4","UP"
"ENSG00000179403",51.7878215776707,1.52347930055372,0.212682272726799,7.16317011766516,7.88324209433995e-13,4.73665944075245e-12,"VWA1","UP"
"ENSG00000215914",2.40480832728289,1.77820687573563,0.764332489904085,2.32648343387676,0.0199927752192348,0.047777892438833,"MMP23A","UP"
"ENSG00000231050",4.12110212557212,2.2453439966979,0.731421596558687,3.06983551929854,0.00214176687178429,0.006123053657523,"GNB1-DT","UP"
"ENSG00000157873",1500.33859497749,1.19224232892115,0.0372511576780891,32.0055107877202,9.13955981850027e-225,1.04391181812642e-222,"TNFRSF14","UP"
"ENSG00000142606",8.15613114975132,2.41970605578753,0.439518660369822,5.50535454797647,3.6842603887098e-08,1.68839644026735e-07,"MMEL1","UP"
"ENSG00000130762",20.8986980734237,1.84340957941886,0.259506833190193,7.10351075059291,1.21626882359579e-12,7.24265739889988e-12,"ARHGEF16","UP"
"ENSG00000162413",1368.48849693406,1.17224267234976,0.052780109761219,22.2099324471485,2.7535127638652e-109,1.0652541476463e-107,"KLHL21","UP"
"ENSG00000049249",130.987864380086,7.49133367604995,0.382172088335223,19.6019905814757,1.48692052382459e-85,4.31782998601169e-84,"TNFRSF9","UP"
"ENSG00000130940",134.237045309756,1.74343866910532,0.102353597539875,17.0334869609846,4.6357686830136e-65,1.01361483710815e-63,"CASZ1","UP"
"ENSG00000116663",145.450427401961,2.68183965849331,0.124978559493208,21.4583978993537,3.8121441075532e-102,1.36271368947498e-100,"FBXO6","UP"
"ENSG00000116771",14.8520764230222,1.05125050599459,0.300828664524802,3.49451574920619,0.000474922588432711,0.00148869487795962,"AGMAT","UP"
"ENSG00000228549",6.23841693370237,-1.45617961433983,0.468048554380709,-3.11117212244475,0.00186346286604797,0.00538648111653732,"LINC03126","DOWN"
"ENSG00000074964",264.18432434176,1.14491682183889,0.0751925919608143,15.2264577132219,2.36038326514233e-52,4.15989368094812e-51,"ARHGEF10L","UP"
"ENSG00000158825",3.14236852794108,-3.47928593676025,1.01271893069289,-3.43558891940509,0.000591267394596742,0.0018287736591615,"CDA","DOWN"
"ENSG00000117245",18.2337241797986,2.10235353992031,0.266494010655055,7.88893354395706,3.04779757765693e-15,2.05580631883237e-14,"KIF17","UP"
"ENSG00000189410",72.9768564010352,1.72573545885434,0.151196422505781,11.4138643643394,3.5653021392154e-30,3.93002468342007e-29,"SH2D5","UP"
"ENSG00000162551",7.0617520541559,2.69398081224968,0.642348829325887,4.19395301938492,2.74134782089253e-05,0.000100112620024251,"ALPL","UP"
"ENSG00000179546",252.510383788672,-1.25399891264507,0.0848053689989025,-14.7867868207884,1.782629593968e-49,2.97966226069104e-48,"HTR1D","DOWN"
"ENSG00000249087",74.0809622797276,-1.45209351394896,0.147327936028994,-9.85619939495516,6.44426334844864e-23,5.69956123436169e-22,"ZNF436-AS1","DOWN"
"ENSG00000142661",7.2612658003231,1.85107535985711,0.51991819825113,3.56032038517529,0.000370402597003582,0.00117706368464864,"MYOM3","UP"
"ENSG00000117643",49.0096597700155,-2.08534729364527,0.176096204362724,-11.8420910955574,2.36482168899854e-32,2.74419995318428e-31,"MAN1C1","DOWN"
"ENSG00000158008",1.18227991055964,3.82017124575337,1.14992889474378,3.32209344700792,0.000893447664140403,0.00269766310071396,"EXTL1","UP"
"ENSG00000158014",1.50927303104688,3.69540621566993,1.09892928894644,3.36273339225745,0.000771748579745847,0.0023545104850908,"SLC30A2","UP"
"ENSG00000158022",2.15998383525141,4.6729789531453,1.08556758226922,4.30464121209029,1.6725657886101e-05,6.24796184482195e-05,"TRIM63","UP"
