"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000187583",54.6921228768942,1.37496209198205,0.19528193446988,7.04090778143186,1.90991386724197e-12,1.56541135840637e-11,"PLEKHN1","UP"
"ENSG00000187642",11.1317310422511,1.39904930678891,0.449855084132506,3.10999998918943,0.0018708735075011,0.00589688943335824,"PERM1","UP"
"ENSG00000186827",151.75674240092,2.09995185084531,0.164751175469133,12.7462025376489,3.27304566671288e-37,7.68126389942671e-36,"TNFRSF4","UP"
"ENSG00000179403",51.7878215776707,1.17605183242361,0.21754289055544,5.40606879600095,6.44230600755733e-08,3.63590876460691e-07,"VWA1","UP"
"ENSG00000231050",4.12110212557212,1.82181545894728,0.752714991206277,2.42032572783983,0.0155066100493977,0.0400990525794057,"GNB1-DT","UP"
"ENSG00000182873",3.8331773066754,1.52238505234641,0.626422771195032,2.43028370351566,0.0150870081424362,0.0391377338032568,"PRKCZ-AS1","UP"
"ENSG00000162413",1368.48849693406,1.25753272468591,0.0528266537712984,23.804890806261,2.97214554771097e-125,3.14556879763081e-123,"KLHL21","UP"
"ENSG00000049249",130.987864380086,4.79888805049712,0.387826037729514,12.3738160505976,3.62195742609653e-35,8.0168442440362e-34,"TNFRSF9","UP"
"ENSG00000116285",564.926193811738,1.32237664927724,0.055119990188977,23.9908723630667,3.46299457094916e-127,3.71922205102629e-125,"ERRFI1","UP"
"ENSG00000028137",881.520695433006,-1.0087641122078,0.0556848357869392,-18.1155982226027,2.4004910553439e-73,1.28273298991686e-71,"TNFRSF1B","DOWN"
"ENSG00000127472",1.01716909785573,3.64906794633765,1.29176582026463,2.82486801329835,0.00473000956551513,0.0137736968809084,"PLA2G5","UP"
"ENSG00000189410",72.9768564010352,1.12517484892816,0.155276345158827,7.24627339584307,4.28394960667574e-13,3.68436565383608e-12,"SH2D5","UP"
"ENSG00000162551",7.0617520541559,2.61649283245924,0.646706695439343,4.04587249662185,5.21286019833718e-05,0.000210737582132667,"ALPL","UP"
"ENSG00000117643",49.0096597700155,-2.22423346127957,0.185596058719379,-11.9842709841302,4.29607025732544e-33,8.92027845240088e-32,"MAN1C1","DOWN"
"ENSG00000126709",4850.97668322835,1.01808317798507,0.364559273403108,2.79264101138179,0.00522796756082379,0.0150707587942721,"IFI6","UP"
"ENSG00000169403",12.0174044683843,1.16246237335982,0.466207676823911,2.49344322530082,0.0126510814653801,0.0334650422358913,"PTAFR","UP"
"ENSG00000121764",14.8488770519556,-2.34752598523246,0.337758216395313,-6.95031496283397,3.64471565304592e-12,2.93434603647367e-11,"HCRTR1","DOWN"
"ENSG00000134668",512.005006663381,1.5715636011954,0.0738646321615385,21.2762665325194,1.88357197693036e-100,1.44597310707872e-98,"SPOCD1","UP"
"ENSG00000222046",3.81607895615524,-1.39069495162622,0.564424684847973,-2.46391589340357,0.0137428355512438,0.0360555115148275,"DCDC2B","DOWN"
"ENSG00000187513",27.7146498960671,-4.4355278996061,0.491320126963864,-9.02777569283728,1.75196494340151e-19,2.14948450737421e-18,"GJA4","DOWN"
"ENSG00000092850",4.12987200323597,-1.58073819913342,0.543672453987358,-2.90751938513732,0.00364307763986498,0.0108446721333064,"TEKT2","DOWN"
"ENSG00000171812",36.848707237126,1.37546372840653,0.22242810426063,6.18385762437122,6.25537899786212e-10,4.26053648582911e-09,"COL8A2","UP"
"ENSG00000163874",287.503146000608,1.50846034713984,0.105574096642843,14.2881672219556,2.59345297104743e-46,7.76682165862308e-45,"ZC3H12A","UP"
"ENSG00000158315",29.196814010849,1.73703779523421,0.286902456516376,6.05445424317956,1.40894515111888e-09,9.29997644102146e-09,"RHBDL2","UP"
"ENSG00000168389",32.3595296866601,1.22868384552444,0.239041846171112,5.14003663042715,2.74684913975907e-07,1.45568315374398e-06,"MFSD2A","UP"
"ENSG00000179862",265.639163524496,1.53180199529864,0.0996427691750409,15.3729368220161,2.4863832097264e-53,8.64563424855741e-52,"CITED4","UP"
"ENSG00000186409",8.86731325987514,-1.29774643891694,0.392109369632086,-3.30965424298483,0.00093411282743858,0.00311153626321329,"CCDC30","DOWN"
"ENSG00000117425",21.6760829993773,-1.07132135714713,0.258765662097733,-4.14012179383563,3.47121473217326e-05,0.000143576975129655,"PTCH2","DOWN"
"ENSG00000117461",362.996144782055,-1.27939320712569,0.0686755015003267,-18.6295429836738,1.85098028693971e-77,1.06197558462788e-75,"PIK3R3","DOWN"
"ENSG00000186377",6.83425761052705,-1.34959543218401,0.526992809363512,-2.56093709098994,0.010439025697212,0.0281951979993331,"CYP4X1","DOWN"
"ENSG00000169174",12.3050633473113,1.15457382955039,0.347734014260428,3.32027866760741,0.000899276345582447,0.00300705872490621,"PCSK9","UP"
"ENSG00000184292",1672.26393833978,-1.33916259064651,0.0526202169359771,-25.449583232921,7.13488518721716e-143,8.93992912940854e-141,"TACSTD2","DOWN"
"ENSG00000234807",1.79853321110511,-2.58249498249283,1.07758534792213,-2.39655725411687,0.0165499076895651,0.0424345627952367,"LOC101926907","DOWN"
"ENSG00000231252",4.07878171138187,-1.87912107671958,0.714503646013597,-2.62996709282547,0.00853931335784085,0.0235157395260384,"LOC101926964","DOWN"
"ENSG00000237928",30.7865381853524,-1.4882874042789,0.236717497220202,-6.28718798464841,3.23267847757139e-10,2.25274920594029e-09,"NFIA-AS2","DOWN"
"ENSG00000152760",98.6052336254507,-1.90740741210871,0.136547723794926,-13.9687968359937,2.41674929434996e-44,6.91469397840129e-43,"DYNLT5","DOWN"
"ENSG00000152763",25.9452956907914,-1.01965456983628,0.243243922672065,-4.19190152269887,2.76626075441765e-05,0.000115936211010791,"DNAI4","DOWN"
"ENSG00000162595",26.0417734845254,-1.18001991045557,0.215172408339403,-5.48406703053793,4.15657156634988e-08,2.38792024478419e-07,"DIRAS3","DOWN"
"ENSG00000162616",2951.00355867317,-1.3503741569004,0.0316830200915826,-42.6213837253211,0,0,"DNAJB4","DOWN"
"ENSG00000137960",238.739139311495,-1.49146534508901,0.0815360840558888,-18.2920894761967,9.56764019196978e-75,5.20183769240212e-73,"GIPC2","DOWN"
"ENSG00000117228",1091.18805381011,1.13337208703962,0.101102400368554,11.2101402430414,3.63616792761537e-29,6.66742919746595e-28,"GBP1","UP"
"ENSG00000162654",847.229157249223,1.5966933287662,0.107944409545065,14.7918112248288,1.65441168084032e-49,5.29654676441712e-48,"GBP4","UP"
"ENSG00000154451",42.3494488854948,4.91806628629556,0.74941346702715,6.56255392074157,5.28939038059166e-11,3.89987450380992e-10,"GBP5","UP"
"ENSG00000226835",3.73316915310005,4.25176193516282,0.954611943184759,4.45391655270745,8.43178823581959e-06,3.76314937804173e-05,"ARHGAP29-AS1","UP"
"ENSG00000117525",34.2980133096578,1.36953554450401,0.234892034033029,5.83048952742021,5.52650074372397e-09,3.44844788822754e-08,"F3","UP"
"ENSG00000162692",915.017236801151,5.04958387357212,0.131221407998702,38.4814029249104,0,0,"VCAM1","UP"
"ENSG00000134215",91.2951984495215,-1.08309031083894,0.126380431077075,-8.57007925679891,1.03413841937964e-17,1.14856270093301e-16,"VAV3","DOWN"
"ENSG00000213366",98.2639460708817,-1.02764610497098,0.138492111766409,-7.42025009124188,1.16899386021176e-13,1.04026139348313e-12,"GSTM2","DOWN"
"ENSG00000184371",2117.6462654745,1.85842297169923,0.0643726866152947,28.869743821717,2.86404838320431e-183,5.24722544963197e-181,"CSF1","UP"
"ENSG00000197106",14.8466845765037,1.19496852680823,0.318700035196999,3.74950861260364,0.000177181412001147,0.000661343801480743,"SLC6A17","UP"
"ENSG00000173947",6.41224851326061,-1.92964716801548,0.484918344264696,-3.97932392296169,6.91115235721008e-05,0.00027505831269057,"CIMAP3","DOWN"
"ENSG00000197852",745.576489016774,-1.0990478819155,0.0624509079761472,-17.598589316512,2.52536393750499e-69,1.25131783103372e-67,"INKA2","DOWN"
