"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000160097",12.2606211291149,1.10609397497732,0.387720886029276,2.85280988162654,0.00433345387757458,0.0310279366605117,"FNDC5","UP"
"ENSG00000187513",27.7146498960671,1.15342655318394,0.191506644469599,6.02290618363921,1.71312753291487e-09,9.97509779995786e-08,"GJA4","UP"
"ENSG00000116147",14.3083237506992,-1.93660852698685,0.456974624576585,-4.23789073360743,2.25629523988706e-05,0.000421700474307813,"TNR","DOWN"
"ENSG00000143851",10.4244225768813,1.4027816724922,0.528999463385516,2.65176388557111,0.00800725150069345,0.0490436115008337,"PTPN7","UP"
"ENSG00000115461",121.20136895371,-1.34044735711788,0.246726174453546,-5.43293535875039,5.54344933100106e-08,2.23659115733061e-06,"IGFBP5","DOWN"
"ENSG00000271856",31.7904416203081,1.24734386115636,0.471582811365037,2.64501553300005,0.00816871671420962,0.0497329734963716,"LINC01215","UP"
"ENSG00000090539",11.1577236492667,-1.17933077549053,0.315101609507794,-3.74269994156077,0.000182053572275453,0.00243910813386927,"CHRD","DOWN"
"ENSG00000090530",36.5078832242544,1.32312137232203,0.220226687390814,6.00799743209149,1.8782881587407e-09,1.08506714806645e-07,"P3H2","UP"
"ENSG00000168843",52.1539654706703,-1.18125667346841,0.178056719501546,-6.63415947893029,3.26356828050195e-11,2.75054432800479e-09,"FSTL5","DOWN"
"ENSG00000134516",18.4616933594598,-1.28060427676431,0.454198761388949,-2.81947989652855,0.00481015439494395,0.0335281831249041,"DOCK2","DOWN"
"ENSG00000124721",83.8049971419891,-1.13262883250798,0.127671287874662,-8.87144518836453,7.22026849544305e-19,1.80518548891806e-16,"DNAH8","DOWN"
"ENSG00000172348",35.9468199996134,1.04688897861886,0.16990669871698,6.16155211374395,7.20353557603132e-10,4.57754671125223e-08,"RCAN2","UP"
"ENSG00000240583",32.0672362755513,-1.16509080258588,0.183334510379194,-6.35499994068823,2.08426701612309e-10,1.44487073922242e-08,"AQP1","DOWN"
"ENSG00000135218",12.5003752533021,-1.28919061163424,0.320336402586546,-4.02448988383684,5.70989483745131e-05,0.000920524378075792,"CD36","DOWN"
"ENSG00000129682",11.0569768637662,-1.16766359733407,0.427873815942536,-2.72899054306909,0.00635285257438315,0.0412462131170359,"FGF13","DOWN"
"ENSG00000110675",58.2606054614858,-1.26475619341234,0.15232177447355,-8.30318710364,1.01355069013968e-16,1.90835328090374e-14,"ELMOD1","DOWN"
"ENSG00000185737",89.5164389395352,-1.02364846835757,0.131254395973916,-7.79896521378989,6.24168656860788e-15,9.4249467185979e-13,"NRG3","DOWN"
"ENSG00000182771",12.4267375326983,-1.06264409094522,0.326478411552406,-3.25486786673685,0.00113445133186885,0.0109089011742319,"GRID1","DOWN"
"ENSG00000175899",168.7323502257,3.06495344146561,0.128265337988329,23.8954146890761,3.41807818055794e-126,5.21291103316892e-122,"A2M","UP"
"ENSG00000134548",10.9511046974271,2.45094025634761,0.678607040503065,3.61172241085309,0.000304170057458194,0.00374709010201528,"SPX","UP"
"ENSG00000183395",10.4712367810267,1.27522327857329,0.355868515619262,3.58341135167358,0.000339135894303108,0.00408866523637684,"PMCH","UP"
"ENSG00000133110",8.82350728816841,2.56788678400349,0.415969028667779,6.17326437073366,6.68942161998555e-10,4.26863469148115e-08,"POSTN","UP"
"ENSG00000006210",1024.77031783746,1.02958229338883,0.240376060746307,4.2832147685266,1.84212203254935e-05,0.000358344427530741,"CX3CL1","UP"
"ENSG00000271503",429.368049719751,1.58734635786945,0.523528237110276,3.0320167000564,0.00242925763652206,0.0199615345983825,"CCL5","UP"
"ENSG00000159640",1146.41690193371,1.14932830023046,0.0560078584562397,20.5208399662068,1.40267918761796e-93,1.06961301451807e-89,"ACE","UP"
"ENSG00000154856",8.24580635818662,-1.40898629929654,0.426792986792808,-3.30133423673278,0.000962261761221541,0.00958553502311543,"APCDD1","DOWN"
"ENSG00000125848",19.8402623330495,-1.12836071119417,0.274206568288045,-4.11500248968823,3.87175235660426e-05,0.000663461743714288,"FLRT3","DOWN"
"ENSG00000125726",13.064499572457,-2.64971608002519,0.98051805589303,-2.70236337219909,0.00688484738005929,0.0437310605526767,"CD70","DOWN"
"ENSG00000102575",30.8970771246102,-1.40556645606973,0.198266284685514,-7.08928630149708,1.34805385981129e-12,1.42772009833208e-10,"ACP5","DOWN"
"ENSG00000127533",140.693899485891,1.05203972995739,0.124610839270078,8.44260207314091,3.10350205936948e-17,6.39614998749243e-15,"F2RL3","UP"
"ENSG00000130300",36.3138668016224,1.04407747295038,0.267447390013283,3.90386114031072,9.46701111286454e-05,0.00140859889251022,"PLVAP","UP"
"ENSG00000160223",39.8905099361113,1.02085488432186,0.383078791374952,2.66486923136044,0.00770182654628926,0.0475934184187429,"ICOSLG","UP"
