,,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,TGFb2_1,TGFb2_2,TGFb2_3,TGFb2_4,TGFb2_5,TGFb2_6,TNFa_1,TNFa_2,TNFa_3,TNFa_4,TNFa_5,TNFa_6,Thrombin_1,Thrombin_2,Thrombin_3,Thrombin_4,Thrombin_5,Thrombin_6,All_1,All_2,All_3,All_4,All_5,All_6
ENSG00000213088,ACKR1,0,0,0,0,0,0,0,0,0,0,0,0,26.32057041,20.04277054,36.02525196,27.09290141,32.11511037,13.237891,0,1.014136612,2.960319568,1.273903757,0,0,0,11.93076014,2.105703961,11.06830288,11.69215759,15.35493193
ENSG00000166741,NNMT,1416.299581,1299.028425,1307.805761,1387.127043,1232.972502,1502.016009,1703.525991,1673.71904,1752.744814,1732.514271,1771.653216,1765.944069,2468.493496,2451.898929,2286.346805,2141.422927,2383.543348,2268.974518,2120.914086,2114.474836,2157.086192,2030.602589,2133.131241,2057.35734,1525.784343,3775.626709,3756.575867,3615.929409,3768.063514,3622.667155
ENSG00000163687,DNASE1L3,3.534857523,6.538733684,1.826544358,1.065381754,0,0,2.724188686,3.157960453,2.25869177,1.843100288,0.853397503,0,0.940020372,0,0,0,1.003597199,1.765052134,0,3.042409836,0.986773189,1.273903757,0.891032265,1.2102102,2.706891206,0,0,0,0,0
ENSG00000162692,VCAM1,31.81371771,15.25704526,20.09198794,33.02683437,30.56956617,31.90556882,45.40314476,36.84287195,50.82056483,38.70510605,36.69609262,44.23888517,2346.290848,2208.045221,2035.007837,2091.571989,2046.334689,2417.238897,845.099549,950.2460054,836.7836646,964.3451443,776.9801347,991.1621539,51.43093291,3921.549083,4026.105974,3911.367955,4107.136084,3736.732364
ENSG00000148671,ADIRF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891032265,0,0,0,0,0,0,0
ENSG00000141753,IGFBP4,12938.75682,13137.40576,13994.98287,13946.91254,14645.36966,12710.68776,21588.28727,21602.5548,21970.29485,21638.91893,21108.78723,19692.62374,5173.872126,5312.44768,5706.232351,6248.706781,5819.860157,4381.741922,9204.236392,9306.731688,9255.932517,9001.40395,9428.012392,9494.09902,14793.16044,4806.260835,5041.055283,5195.291089,5117.976254,5185.57987
ENSG00000120885,CLU,9671.370183,10431.4598,10674.32523,10620.7907,11181.66798,10008.53151,5413.870981,5833.80561,5476.198197,5549.574968,5730.564232,5423.326188,4241.371917,4605.383275,4845.815287,4787.857537,4590.453589,3750.735784,3883.579449,4143.762196,4320.093023,4182.226036,4045.286481,3992.48345,6169.005058,1885.060102,1931.983384,1950.57553,1885.626142,1854.656421
ENSG00000111341,MGP,484.2754807,500.2131268,497.7333376,510.3178601,541.760645,579.2087879,2925.778648,2854.796249,2889.99612,2785.846086,2781.222462,2620.025403,223.7248485,192.6332946,227.042867,281.7661747,221.794981,162.3847963,1234.988471,1130.762322,1148.603992,1019.123006,1091.514524,1148.48948,986.210696,820.4691974,898.0827395,780.7410568,857.7791977,743.6174179
ENSG00000108691,CCL2,401.7954718,326.9366842,398.1866701,356.9028875,352.3991656,425.8166301,614.75858,542.1165444,564.6729426,555.6947369,719.4140949,817.9679585,12906.4797,12722.70534,12334.04092,11545.91087,12332.20238,13054.32558,3684.552382,3698.556224,3577.052812,3445.909664,3522.250542,4055.414381,462.8783962,13558.85002,12796.36297,12091.69519,12222.55637,12483.55966
ENSG00000105974,CAV1,38789.16989,37460.40528,37774.76387,37783.7639,37050.3142,38953.01812,28618.51021,27942.68674,27696.07849,28585.56392,28221.00202,28404.07278,22564.249,22433.42767,22762.93246,22680.00963,23026.53414,21899.88435,32004.57314,31693.7974,31473.13088,31219.55938,31540.7601,31325.08082,38486.57917,15027.25127,15244.24383,14735.31676,15531.43697,15495.31988
ENSG00000197956,S100A6,8142.592894,7809.496797,7952.136966,8087.022637,7847.907498,8354.013169,7565.062725,7473.006308,7682.395404,7974.795683,7344.867674,7407.94196,6130.198281,6246.062218,6217.369475,6414.448817,6541.742649,6720.963315,8769.679636,9036.760711,8944.479619,8859.658434,9140.191152,9012.934914,7910.326423,8323.682522,8243.637287,7992.701791,8413.486293,7886.074017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGF,Thr,TNF,Cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR1,#N/A,#N/A,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNMT,UP,UP,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNASE1L3,#N/A,#N/A,#N/A,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCAM1,UP,UP,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIRF,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP4,UP,DOWN,DOWN,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLU,DOWN,DOWN,DOWN,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGP,UP,UP,DOWN,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,UP,UP,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAV1,DOWN,DOWN,DOWN,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100A6,DOWN,#N/A,UP,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGP,UP,UP,DOWN,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLU,DOWN,DOWN,DOWN,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNMT,UP,UP,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNASE1L3,#N/A,#N/A,#N/A,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIRF,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAV1,DOWN,DOWN,DOWN,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,UP,UP,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR1,#N/A,#N/A,UP,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP4,UP,DOWN,DOWN,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100A6,DOWN,#N/A,UP,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
