gene,original_leidenID,degreeCentrality,degree_ratio,betweennessCentrality,betweenness_ratio,closenessCentrality,eigenvectorCentrality,VEGFA,TNF-IL6,TGFB1/2,F2(Thrombin),GSE13592,intersect_count,Average NX (all except retina),NX (retina),tissue_ratio,degree_ratio_percentile,betweenness_ratio_percentile,tissue_ratio_percentile
ABLIM2,23,4,0.166666667,1559,1752.051438,0.230837526,0.000401721,1,1,1,1,0,4,4.536065573770491,1.3,0.286591977,80.41009463722398,99.74763406940063,25
ACSL1,22,24,0.179104478,1777.93366,32.79180556,0.324797002,0.023056917,1,1,1,1,0,4,18.01639344262295,9.1,0.505095541,84.22712933753942,62.965299684542586,42.054263565891475
ADAT2,21,2,0.055555556,0,0,0.6,3.5399999999999995e-23,1,1,1,1,0,4,8.167213115,6,0.734644721,15.899053627760251,10.189274447949527,59.62532299741602
AFAP1L2,1,2,0.055555556,0,0,0.262008734,0.004117676,1,1,1,1,1,4,8.596721311,8.1,0.94221968,15.899053627760251,10.189274447949527,71.83462532299741
AGAP2,23,2,0.043478261,0,0,0.21603656,0.000109534,1,1,1,1,0,4,6.760655737704918,0.7,0.103540252,9.684542586750789,10.189274447949527,11.757105943152455
AIRE,6,8,0.041666667,344.1570797,19.5680827,0.254030288,0.00163089,1,1,1,1,0,4,0.9442622950819674,0.2,0.211805556,8.675078864353312,49.65299684542587,19.57364341085271
ANO1,2,2,0.111111111,0,0,0.259179266,0.001638906,1,1,1,1,0,4,10.490163934426228,1.7,0.162056571,54.763406940063085,10.189274447949527,15.956072351421188
APOLD1,9,2,0.166666667,0,0,0.188930604,2.02e-05,1,1,1,1,1,4,12.390163934426226,8.1,0.653744377,80.41009463722398,10.189274447949527,52.97157622739018
ATP2A1,1,56,0.06779661,6294.255788,24.64126003,0.322780881,0.047849594,1,1,1,1,0,4,11.739344262295084,12.6,1.073313783,23.753943217665615,54.44794952681388,77.06718346
ATP8A2,1,2,0.166666667,0,0,0.207474398,0.000221768,1,1,1,1,0,4,4.306557377,3.1,0.719832509,80.41009463722398,10.189274447949527,58.333333333333336
BANK1,2,2,0.111111111,0,0,0.251491214,0.001192222,1,1,1,1,0,4,5.860655737704919,0.5,0.085314685,54.763406940063085,10.189274447949527,10.077519379844961
BCL2L11,22,12,0.072289157,506.8418376,4.242968861,0.292080135,0.006369009,1,1,1,1,0,4,11.463934426229509,7.8,0.68039468,27.31861199,28.01261829652997,55.42635658914728
CC2D2A,2,6,0.069767442,55.42116299,31.39072244,0.273588215,0.00445017,1,1,1,1,0,4,8.357377049180329,20.5,2.452922715,25.015772870662463,61.89274447949526,95.02583979328165
CCDC87,6,6,0.15,361.3968086,67.5704659,0.268872802,0.002666134,1,1,1,1,0,4,1.2459016393442623,2.3,1.846052632,74.1955836,80.75709779,91.1498708
CCSER1,2,4,0.090909091,29.50271629,24.70318738,0.291207766,0.010002831,1,1,1,1,0,4,3.362295081967213,2.9,0.862506095,41.230283911671926,54.63722397,68.28165374677002
CDC20B,1,2,0.029411765,0,0,0.201498321,7.35e-05,1,1,1,1,0,4,0.4311475409836066,0.1,0.231939163,3.3438485804416405,10.189274447949527,21.640826873385013
CDH12,1,4,0.142857143,1559,2482.029665,0.252304706,0.00184083,1,1,1,1,0,4,2,1.4,0.7,71.57728706624606,99.87381703470032,56.91214470284238
CNKSR3,9,6,0.063829787,32.94192814,4.302064145,0.236435283,0.000480593,1,1,1,1,1,4,7.254098360655738,12.6,1.736949153,21.230283911671926,28.075709779179807,90.37467700258398
CSF2RB,0,4,0.111111111,34.1140154,12.77231696,0.248565966,0.001119519,1,1,1,1,0,4,7.339344262295082,2.8,0.381505472,54.763406940063085,39.74763406940063,33.13953488372093
DACH1,2,8,0.042105263,346.7095395,17.64361951,0.29742612,0.00626653,1,1,1,1,0,4,4.796428571428572,19.6,4.08637379,9.022082018927446,46.5615142,97.67441860465115
DANCR,1,2,0.04,0,0,0.283481737,0.009584463,1,1,1,1,0,4,,,,7.539432176656151,10.189274447949527,
DENND2D,1,2,0.028571429,0,0,0.261394102,0.00409403,1,1,1,1,0,4,11.375409836065575,3.7,0.325263006,2.8706624605678233,10.189274447949527,28.036175710594314
DOK2,1,14,0.063636364,1145.938544,21.88382822,0.279269603,0.007788636,1,1,1,1,0,4,10.095081967213114,2.6,0.257551153,20.946372239747635,51.798107255520506,23.25581395348837
DUSP10,2,4,0.028985507,17.80492189,0.458799595,0.263825469,0.001812827,1,1,1,1,0,4,8.004918032786886,8.5,1.061847225,3.123028391167192,21.13564668769716,76.67958656
EPSTI1,1,8,0.166666667,697.2829842,384.0233154,0.291262136,0.010615124,1,1,1,1,0,4,10.80655737704918,6.6,0.610740291,80.41009463722398,97.85488958990535,50.129198966408275
ERRFI1,4,10,0.047169811,985.2292167,4.519182484,0.281893748,0.004230025,1,1,1,1,0,4,16.778688524590162,12,0.715192965,11.67192429022082,28.391167192429023,58.07493540051679
FAM163A,22,2,0.055555556,0,0,0.254237288,0.001521056,1,1,1,1,0,4,2.057377049180328,0.2,0.097211155,15.899053627760251,10.189274447949527,11.175710594315245
FERMT3,4,16,0.137931034,1025.690165,103.1507142,0.283584803,0.004246048,1,1,1,1,0,4,12.867213114754096,5.6,0.435214677,69.58990536277602,88.51735016,37.20930233
FRMD6,1,8,0.076923077,447.3067903,4.027682658,0.278920079,0.006111836,1,1,1,1,0,4,9.601639344262294,13.2,1.374765238,30.157728706624603,27.57097791798107,85.27131782945736
GAMT,1,2,0.032258065,0,0,0.230258303,0.000573696,1,1,1,1,0,4,11.975409836065571,4.5,0.375770021,4.353312302839116,10.189274447949527,32.36434108527132
GCK,0,2,0.0625,0,0,0.20979021,0.000101526,1,1,1,1,0,4,2.485245901639343,0.8,0.321899736,19.842271293375394,10.189274447949527,27.77777777777778
GNA14,22,2,0.090909091,0,0,0.239410681,0.00082563,1,1,1,1,0,4,6.232786885245901,4.8,0.770120989,41.230283911671926,10.189274447949527,62.01550387596899
GNAZ,8,12,0.089552239,3257.04672,58.71078533,0.283018868,0.005310522,1,1,1,1,0,4,6.696721311,6.8,1.015422277,40.063091482649845,78.48580441640378,74.67700258397933
HDAC9,2,10,0.069444444,216.3477188,10.22391123,0.288568257,0.004884286,1,1,1,1,1,4,10.436065573770492,9.7,0.929469054,24.858044164037853,36.845425867507885,71.31782945736434
IFIH1,2,6,0.068181818,172.3871262,12.56080548,0.292463442,0.008217265,1,1,1,1,1,4,10.70983606557377,5.9,0.550895454,24.006309148264986,39.55835962,45.93023255813954
IGF1,0,10,0.217391304,765.0381822,167.5724707,0.258749378,0.001101868,1,1,1,1,0,4,10.837704918032788,3.7,0.341400696,90.59936908517349,93.62776025236593,29.198966408268735
IGFBP4,0,4,0.058823529,164.1315794,10.69589142,0.265712826,0.004776212,1,1,1,1,1,4,51.13934426229508,46.2,0.903414009,17.47634069400631,37.66561514195584,70.34883720930233
IGFBP7,0,6,0.157894737,83.01144128,34.76697182,0.230360307,0.000301127,1,1,1,1,1,4,52.13442622950819,126.9,2.434092195,77.09779179810725,64.98422712933754,94.96124031007753
IL6ST,1,4,0.028169014,2.074475253,0.039230354,0.285661967,0.016390514,1,1,1,1,1,4,27.190163934426227,20,0.735560111,2.6813880126182967,20.378548895899055,59.81912144702842
IL7R,4,22,0.085271318,1542.934728,83.13266272,0.313001605,0.015082028,1,1,1,1,0,4,11.94590163934426,1.7,0.14230822,37.570977917981075,84.98422712933754,14.599483204134367
IRS1,4,18,0.077586207,1745.569274,8.364124696,0.32065776,0.015405252,1,1,1,1,0,4,6.604918032786885,5.5,0.832712832,30.977917981072554,34.19558359621451,66.1498708
ITGA5,1,32,0.137931034,3301.201206,26.31132968,0.33649698,0.052855818,1,1,1,1,1,4,15.81967213114754,4.9,0.309740933,69.58990536277602,56.52996845425867,26.808785529715763
JAK3,4,36,0.146341463,3242.682601,60.44982552,0.309769658,0.014605252,1,1,1,1,0,4,7.085245901639345,1.6,0.225821379,72.99684543,78.99053627760252,21.188630490956072
KLF11,4,2,0.05,0,0,0.261657162,0.001738448,1,1,1,1,0,4,10.963934426229509,9.2,0.839114833,13.470031545741326,10.189274447949527,66.60206718346254
LDLRAD4,2,8,0.068965517,149.3624141,11.80507404,0.287822878,0.006789362,1,1,1,1,0,4,11.685245901639345,3.7,0.316638608,24.51104100946372,38.61198738170347,27.39018087855297
MARCKSL1,1,16,0.059701493,537.7787728,21.91912327,0.330578512,0.040503604,1,1,1,1,1,4,28.82622950819672,5.2,0.180391265,18.04416403785489,51.987381703470035,16.98966408268734
MIR10B,2,4,0.024691358,0,0,0.262140817,0.002796644,1,1,1,1,0,4,,,,1.6088328075709777,10.189274447949527,
N4BP3,9,6,0.055555556,288.8488756,16.53784239,0.261657162,0.001983536,1,1,1,1,0,4,3.757377049180328,1.5,0.39921466,15.899053627760251,44.79495268138801,34.81912144702842
NDRG1,1,44,0.100456621,7043.265837,19.15805049,0.331844288,0.055663333,1,1,1,1,1,4,36.265573770491805,16.2,0.446704638,48.958990536277604,48.64353312302839,37.91989664082687
NGEF,15,2,0.013513514,0,0,0.244744274,0.0007135,1,1,1,1,0,4,5.947540983606556,0,0,0.1892744479495268,10.189274447949527,2.3901808785529712
NHS,22,4,0.040816327,12.44507618,0.774715431,0.279820628,0.009102154,1,1,1,1,0,4,4.562295081967213,9.4,2.060366511,8.107255520504731,21.64037855,93.21705426356588
NMI,4,18,0.07826087,1753.194561,32.60085922,0.29867892,0.008623421,1,1,1,1,0,4,13.29672131147541,5,0.376032548,31.798107255520502,62.58675078864353,32.428940568475454
NTRK2,1,36,0.138461538,1498.657811,6.953258669,0.322047894,0.045430549,1,1,1,1,0,4,14.490163934426228,2,0.138024663,69.77917981072555,32.239747634069396,14.276485788113696
NUAK2,1,4,0.041666667,0.881180778,0.219026349,0.266803489,0.006196312,1,1,1,1,0,4,8.067213114754098,9.8,1.214793741,8.675078864353312,20.82018927444795,81.00775194
OSBPL6,0,12,0.08,1530.27999,34.25096982,0.302325581,0.012875672,1,1,1,1,0,4,4.503278688524591,2.5,0.555151074,33.31230283911672,64.29022082018928,46.31782945736434
PAK3,4,8,0.153846154,118.8185298,27.56630283,0.285296269,0.009950081,1,1,1,1,0,4,6.275409836065574,1.4,0.223092999,75.86750788643532,57.981072555205046,21.059431524547804
PALLD,4,28,0.115702479,2365.439481,73.02451215,0.336279371,0.030848805,1,1,1,1,1,4,25.990163934426228,9.2,0.353980068,58.01261829652997,82.46056782334385,29.97416020671835
PFKFB3,0,6,0.048387097,1594.284012,72.93882325,0.265441552,0.002540445,1,1,1,1,0,4,16.804918032786883,19.3,1.14847332,12.555205047318612,82.39747634069401,79.39276485788113
PGF,0,4,0.333333333,0,0,0.223495702,0.000276697,1,1,1,1,0,4,6.550819672131146,3.5,0.534284284,97.19242902208201,10.189274447949527,44.638242894056845
PLCD3,1,20,0.083333333,1512.785235,41.4295593,0.318042813,0.021801483,1,1,1,1,0,4,8.686885246,10.3,1.185695414,35.80441640378549,69.21135646687698,80.10335917312662
PPFIBP2,4,2,0.023809524,0,0,0.275083759,0.005487096,1,1,1,1,0,4,13.632786885245904,15.3,1.122294372,1.3564668769716088,10.189274447949527,78.81136950904393
PPM1F,2,20,0.158730159,4321.880019,32.10270441,0.326770004,0.020361511,1,1,1,1,0,4,13.862295081967217,11.2,0.80794702,77.41324921135647,62.08201892744479,64.47028423772609
PRR5,1,12,0.166666667,700.4204575,181.0160801,0.297880466,0.023207018,1,1,1,1,0,4,7.849180327868853,9.8,1.248538012,80.41009463722398,94.44794952681389,81.91214470284238
PTGES3L-AARSD1,1,2,0.045454545,0,0,0.253534861,0.001719091,1,1,1,1,0,4,2.634426229508197,1.6,0.607342875,10.757097791798108,10.189274447949527,50.064599483204134
PTPN4,4,8,0.081632653,53.36723794,7.503646346,0.262847515,0.002208733,1,1,1,1,0,4,8.572131147540981,7.1,0.828265443,34.511041009463725,33.186119873817034,65.69767441860465
PTPRR,0,8,0.038834951,439.1388431,10.93422833,0.282199711,0.008250931,1,1,1,1,0,4,3.663934426229509,0.8,0.218344519,6.940063091482649,37.91798107255521,20.54263565891473
RAB40B,9,4,0.060606061,10.08376899,1.033190526,0.246367656,0.001052804,1,1,1,1,0,4,10.370491803278687,2.2,0.212140373,18.328075709779178,22.145110410094638,19.702842377260982
RALGPS2,0,6,0.063829787,12.30614155,4.609258877,0.246250987,0.00123906,1,1,1,1,0,4,8.247540983606557,9.9,1.200357782,21.230283911671926,28.517350157728703,80.55555555555556
