gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
NNMT,2.42E-55,2.061036881,0.774,0.031,5.29E-51,0.743
DNASE1L3,1.46E-53,2.048502715,0.711,0.004,3.19E-49,0.707
CLU,6.85E-50,2.61609322,0.931,0.457,1.50E-45,0.474
SLCO2A1,1.18E-48,1.304907536,0.73,0.055,2.58E-44,0.675
ADIRF,4.61E-46,1.977244205,0.918,0.398,1.01E-41,0.52
SELP,7.91E-46,1.062915522,0.635,0.008,1.73E-41,0.627
CLDN5,1.00E-43,-2.457515857,0.252,0.85,2.19E-39,-0.598
MGP,7.30E-41,2.734583675,0.893,0.429,1.60E-36,0.464
IGFBP4,9.56E-41,1.652590233,0.912,0.417,2.09E-36,0.495
DARC,2.96E-40,1.694878062,0.774,0.114,6.47E-36,0.66
MT-ND4,3.03E-38,-1.356225741,0.906,0.992,6.62E-34,-0.086
MT-ATP6,3.41E-38,-1.246054978,0.918,0.992,7.44E-34,-0.074
LITAF,2.12E-37,0.907469242,0.673,0.075,4.63E-33,0.598
MMRN1,6.19E-37,1.150603307,0.61,0.055,1.35E-32,0.555
MT-CO3,1.34E-36,-1.297321236,0.943,0.992,2.93E-32,-0.049
IL33,9.91E-36,0.75345697,0.503,0,2.17E-31,0.503
SIX3,1.86E-35,0.889177417,0.541,0.016,4.07E-31,0.525
NUPR1,8.19E-35,1.417997704,0.66,0.122,1.79E-30,0.538
VCAM1,6.85E-34,1.532821421,0.541,0.031,1.50E-29,0.51
TXNIP,1.08E-32,1.32538712,0.723,0.165,2.37E-28,0.558
THBD,1.42E-32,1.351284953,0.736,0.213,3.10E-28,0.523
MT-CO1,1.78E-32,-1.231620848,0.918,0.98,3.88E-28,-0.062
VIM,7.48E-32,0.813228817,1,0.906,1.63E-27,0.094
S100A6,1.76E-31,1.637403957,0.95,0.614,3.84E-27,0.336
GPR126,4.77E-31,0.730284214,0.453,0.004,1.04E-26,0.449
CRTAC1,6.75E-31,1.205928385,0.459,0.008,1.48E-26,0.451
ITGB4,1.03E-30,0.780808773,0.572,0.071,2.26E-26,0.501
PRCP,2.62E-30,0.960933832,0.667,0.157,5.73E-26,0.51
CAV1,2.91E-30,1.805042585,0.805,0.315,6.37E-26,0.49
CDO1,3.92E-30,0.649913904,0.497,0.028,8.56E-26,0.469
NR2F2,1.28E-29,1.044663592,0.686,0.197,2.80E-25,0.489
EFEMP1,1.45E-29,1.375526386,0.635,0.114,3.17E-25,0.521
PMP22,2.05E-29,0.818797957,0.648,0.146,4.47E-25,0.502
MTRNR2L8,3.37E-29,1.478512672,0.629,0.126,7.37E-25,0.503
NPC2,3.74E-28,1.02139693,0.805,0.366,8.17E-24,0.439
MT-CO2,4.30E-28,-1.225797088,0.925,0.972,9.41E-24,-0.047
MTRNR2L12,5.04E-28,0.932193114,0.767,0.252,1.10E-23,0.515
PLAC9,1.15E-27,1.008784813,0.509,0.055,2.52E-23,0.454
ALCAM,1.52E-27,0.619439207,0.434,0.016,3.33E-23,0.418
RPL34,2.22E-27,0.696089889,0.981,0.78,4.85E-23,0.201
MT-CYB,5.78E-27,-1.061600512,0.912,0.988,1.26E-22,-0.076
SRPX,8.47E-27,0.797239289,0.447,0.028,1.85E-22,0.419
CCL2,2.03E-26,1.778464694,0.44,0.028,4.43E-22,0.412
RAB3C,3.57E-26,0.483055646,0.403,0.008,7.80E-22,0.395
RPS27A,4.84E-26,0.588461721,0.981,0.843,1.06E-21,0.138
HLA-DRA,7.42E-26,1.240804868,0.767,0.295,1.62E-21,0.472
C1orf64,1.24E-25,-1.52600198,0,0.5,2.72E-21,-0.5
RPS14,2.01E-25,0.604149842,0.975,0.803,4.39E-21,0.172
ANXA1,2.65E-25,1.340511793,0.805,0.406,5.79E-21,0.399
RPL37,2.77E-25,0.629267933,0.975,0.732,6.06E-21,0.243
FOSB,3.67E-25,1.058527687,0.893,0.492,8.03E-21,0.401
COTL1,4.20E-25,0.711864708,0.516,0.079,9.19E-21,0.437
RPL30,2.17E-24,0.591955784,0.981,0.811,4.73E-20,0.17
TIMP1,2.32E-24,1.44733041,0.843,0.465,5.07E-20,0.378
RPL35A,3.30E-24,0.625715735,0.956,0.776,7.22E-20,0.18
PRSS23,4.36E-24,0.971598616,0.83,0.437,9.54E-20,0.393
FAM198B,6.13E-24,0.56576467,0.421,0.028,1.34E-19,0.393
FBLN2,6.27E-24,0.633387462,0.415,0.024,1.37E-19,0.391
RPL22,1.22E-23,0.559829014,0.981,0.689,2.67E-19,0.292
TGFBR3,1.58E-23,0.954745513,0.635,0.217,3.44E-19,0.418
NFATC2,1.84E-23,0.751729974,0.465,0.063,4.02E-19,0.402
RPL32,3.32E-23,0.546057818,0.994,0.85,7.26E-19,0.144
PROCR,4.65E-23,0.844443306,0.579,0.146,1.02E-18,0.433
RPS23,4.75E-23,0.552259505,1,0.89,1.04E-18,0.11
RPL41,4.94E-23,0.48395272,0.994,0.925,1.08E-18,0.069
VWF,6.08E-23,0.818605332,0.899,0.575,1.33E-18,0.324
HLA-DQA1,7.94E-23,0.548389345,0.346,0.004,1.74E-18,0.342
C11orf96,1.22E-22,0.367305747,0.73,0.209,2.66E-18,0.521
IL6ST,1.44E-22,0.829321813,0.818,0.437,3.15E-18,0.381
ICAM1,1.49E-22,1.148726317,0.736,0.303,3.27E-18,0.433
HLA-DPB1,1.73E-22,0.816229824,0.748,0.319,3.78E-18,0.429
PPAP2B,2.53E-22,0.739923316,0.56,0.138,5.52E-18,0.422
SELE,4.04E-22,1.330513378,0.434,0.047,8.83E-18,0.387
RPS15A,6.57E-22,0.568997378,0.981,0.756,1.44E-17,0.225
SPOCK2,9.87E-22,-1.037935171,0.013,0.457,2.16E-17,-0.444
TGFBR2,9.91E-22,0.728956963,0.818,0.398,2.17E-17,0.42
TFF3,1.12E-21,0.709551209,0.346,0.012,2.45E-17,0.334
FOXP1,1.60E-21,0.677296082,0.748,0.319,3.49E-17,0.429
LDB2,4.93E-21,0.395889379,0.692,0.256,1.08E-16,0.436
SLC2A1,5.31E-21,-1.724283779,0.239,0.622,1.16E-16,-0.383
