"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"1","A2M","168.7323502257","-1.38411990486528","0.161495510342543","-8.57064014924911","1.02911356057158e-17","5.92198266664928e-17","2","DOWN",11,54,0.158823529,11387.91401,46.87910339,0.32561052,0.019429236,0,0,0,1,1,1,31.8803278688525,47.5,1.489947036,77.4763406940063,72.4290220820189,87.015503875969
"2","ABCG2","143.408564325036","-4.31331592554871","0.190074167336976","-22.6928045298327","5.27637913962544e-114","1.36832166281342e-112","9429","DOWN",22,6,0.051724138,21.8707524,2.723239023,0.272822665,0.004615071,0,1,1,1,1,3,8.60491803278689,6.9,0.801867022,14.1324921135647,25.3627760252366,64.0180878552972
"3","ABLIM1","2672.77389746234","-1.52466493602337","0.041140836041842","-37.0596488236826","1.25570295998823e-300","1.05833336259865e-298","3983","DOWN",9,38,0.1,5211.786641,36.68150001,0.354948805,0.057135311,0,1,0,1,1,2,21.9540983606557,26.6,1.211618877,47.8864353312303,66.4353312302839,80.8785529715762
"4","ACKR3","434.835493867812","2.93063053882251","0.0970264053752065","30.204463697172","2.06954914614269e-200","1.02388449265873e-198","57007","UP",23,2,0.052631579,0,0,0.288195086,0.007555159,0,0,0,0,1,0,14.5950819672131,25.2,1.726609008,14.47949527,10.1892744479495,90.1162790697674
"5","ADAMTS1","202.439860280076","1.04101745462579","0.0757522291024686","13.7424002826059","5.65687794652733e-43","6.12089237322781e-42","9510","UP",4,14,0.082352941,1129.934656,17.74783809,0.300520131,0.013575585,0,0,1,1,1,2,18.3606557377049,7.8,0.424821429,34.8264984227129,46.7507886435331,36.1111111111111
"6","ADAMTS4","1800.60485241623","2.42524949242762","0.0473964960946944","51.1693836519512","0","0","9507","UP",4,16,0.131147541,592.0416784,20.8771094,0.295678544,0.006769522,0,1,1,1,1,3,8.950819672,0,0,66.5930599369085,50.8517350157729,2.39018087855297
"7","ADAMTS6","575.222613967221","1.08523801413942","0.051968590005145","20.8825756871984","7.71204770436333e-97","1.721822268451e-95","11174","UP",9,4,0.25,52.11832379,7.453259691,0.275472364,0.002842378,0,1,1,1,1,3,2.17868852459016,1.4,0.642588412,93.5015772870663,33.1230283911672,52.1317829457364
"8","ADAMTSL2","1.07456779816867","4.79209693487152","1.38265810311961","3.46585820750581","0.000528541940760105","0.00140874873051702","9719","UP",15,2,0.5,0,0,0.250763543,0.001154033,0,0,0,0,1,0,5.31311475409836,4.5,0.846960815,99.1798107255521,10.1892744479495,66.8604651162791
"9","AFAP1L2","3.7467815807124","-1.6324207234258","0.674644218752364","-2.41967644285853","0.0155343223903231","0.0335924561613886","84632","DOWN",1,2,0.055555556,0,0,0.262008734,0.004117676,1,1,1,1,1,4,8.596721311,8.1,0.94221968,15.8990536277603,10.1892744479495,71.8346253229974
"10","AIF1L","97.280764275157","-2.54036898940189","0.154511177874504","-16.4413282219958","9.67745097799354e-61","1.39510180592345e-59","83543","DOWN",22,16,0.156862745,466.7714551,67.88293173,0.310880829,0.018000304,0,1,1,1,1,3,16.6459016393443,5.9,0.354441599,76.8454258675079,80.820189274448,30.1033591731266
"11","ALCAM","2840.34708436508","1.64179491248722","0.0357788601987116","45.887289404103","0","0","214","UP",1,20,0.12987013,1449.722177,56.57307714,0.310447761,0.025523741,0,1,1,1,1,3,16.1524590163934,3,0.185730234,65.5520504731861,77.16088328,17.764857881137
"12","APLNR","2.4521857480216","-2.33067356052164","0.912999494144095","-2.55276544562225","0.0106871439378216","0.0237952551928156","187","DOWN",22,30,0.072115385,1023.159995,16.14299736,0.294673215,0.013221537,0,0,0,1,1,1,7.78852459016393,0.2,0.025678804,27.2555205047319,44.1640378548896,6.0077519379845
"13","APOL1","1781.74570804118","2.04820546939663","0.0695034119168566","29.469135584981","7.15988324879381e-191","3.28089485025796e-189","8542","UP",11,2,0.333333333,0,0,0.23465704,0.000414648,0,0,0,1,1,1,13.0065573770492,13,0.999495841,97.192429022082,10.1892744479495,73.9018087855297
"14","APOLD1","289.288579658363","-1.94515592837904","0.0979447673952897","-19.8597227816029","9.08104325415224e-88","1.82696964837799e-86","81575","DOWN",9,2,0.166666667,0,0,0.188930604,2.02e-05,1,1,1,1,1,4,12.3901639344262,8.1,0.653744377,80.410094637224,10.1892744479495,52.9715762273902
"15","AQP1","32.0672362755513","-3.52112508658161","0.279207165962362","-12.611155857856","1.83285044772286e-36","1.73499549602133e-35","358","DOWN",22,30,0.111111111,5955.32426,47.95837491,0.288781933,0.003585125,0,1,0,1,1,2,26.4524590163934,8.3,0.313770451,54.7634069400631,73.0599369085174,27.1317829457364
