"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ACE","1146.41690193371","-2.91538931093243","0.0734236115011322","-39.7064275554938","0","0","1636","DOWN","Angiotensin I Converting Enzyme","Protein Coding","P12821",60,"GC17P063477",6.673345089,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"2","ADAMTS1","202.439860280076","1.04101745462579","0.0757522291024686","13.7424002826059","0.000000000000000000000000000000000000000000565687794652733","0.00000000000000000000000000000000000000000612089237322781","9510","UP","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 1","Protein Coding","Q9UHI8",52,"GC21M026835",6.125358105,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS1"
"3","ADAMTSL1","839.05763186032","1.43829136320096","0.0450901864908463","31.8981018961396","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000283688092250339","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162100612324836","92949","UP","ADAMTS Like 1","Protein Coding","Q8N6G6",50,"GC09P017906",5.549712181,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL1"
"4","ADM","778.827263341603","-1.10993894332712","0.0626894635786592","-17.7053507872886","0.000000000000000000000000000000000000000000000000000000000000000000000381297626155826","0.00000000000000000000000000000000000000000000000000000000000000000000620996734275454","133","DOWN","Adrenomedullin","Protein Coding","P35318",54,"GC11P011175",6.55082655,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"5","ANGPT1","6.05570449369247","-2.42309014377045","0.616164489809245","-3.9325377944461","0.000084053759209232","0.000242967254235505","284","DOWN","Angiopoietin 1","Protein Coding","Q15389",54,"GC08M107246",19.65593338,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1"
"6","ANGPTL4","206.487702104064","1.65460975934291","0.169264374369232","9.77529834915854","0.000000000000000000000143733221107642","0.000000000000000000000971908391094342","51129","UP","Angiopoietin Like 4","Protein Coding","Q9BY76",53,"GC19P008363",5.061609268,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL4"
"7","BCL2","79.2158687727892","1.72772504537064","0.124099402134257","13.9221061153985","0.0000000000000000000000000000000000000000000464997140246348","0.000000000000000000000000000000000000000000511107010371382","596","UP","BCL2 Apoptosis Regulator","Protein Coding","P10415",59,"GC18M063123",5.487888813,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"8","BDNF-AS","7.67157651292226","-1.02399787474996","0.420053330265399","-2.43778063633725","0.0147777386203991","0.0321005019976803","497258","DOWN","BDNF Antisense RNA","RNA Gene","",29,"GC11P027466",6.794160843,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"9","BMP4","821.878839771227","-3.46183744048594","0.0754747072162531","-45.8675173202984","0","0","652","DOWN","Bone Morphogenetic Protein 4","Protein Coding","P12644",58,"GC14M053949",5.862859726,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"10","CCL2","3948.66296024455","5.11456857083911","0.0771726917028784","66.274331735514","0","0","6347","UP","C-C Motif Chemokine Ligand 2","Protein Coding","P13500",58,"GC17P034255",9.41977787,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"11","CD34","2163.57960277814","-4.74314933837959","0.0949332329333879","-49.9630023314147","0","0","947","DOWN","CD34 Molecule","Protein Coding","P28906",54,"GC01M207880",8.357566833,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34"
"12","CD36","12.5003752533021","-3.91842699598329","0.544425996284948","-7.19735468681114","0.000000000000613919187833608","0.00000000000294349429371908","948","DOWN","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671",59,"GC07P080369",8.757829666,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"13","CD44","7964.28243408021","1.97760185702842","0.0409079832051854","48.3426877123032","0","0","960","UP","CD44 Molecule (IN Blood Group)","Protein Coding","P16070",57,"GC11P035139",5.171790123,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"14","CEACAM1","101.825800119262","2.10980018849107","0.153002037369963","13.7893600945295","0.000000000000000000000000000000000000000000295368269317251","0.0000000000000000000000000000000000000000032077293086138","634","UP","CEA Cell Adhesion Molecule 1","Protein Coding","P13688",53,"GC19M042507",6.196045876,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM1"
"15","COL4A1","34811.8446292989","1.99039169829051","0.0277955343052729","71.6083265905387","0","0","1282","UP","Collagen Type IV Alpha 1 Chain","Protein Coding","P02462",56,"GC13M110148",5.826243401,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1"
