"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ABCG2","143.408564325036","-4.31331592554871","0.190074167336976","-22.6928045298327","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000527637913962544","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136832166281342","9429","DOWN","ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)","Protein Coding","Q9UNQ0",59,"GC04M088090",5.937819004,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2"
"2","ADAM12","77.2050082650359","2.66339951224958","0.155682358934884","17.1079082464544","0.0000000000000000000000000000000000000000000000000000000000000000129569676093653","0.000000000000000000000000000000000000000000000000000000000000000199329516697139","8038","UP","ADAM Metallopeptidase Domain 12","Protein Coding","O43184",53,"GC10M126012",5.064745426,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM12"
"3","ADAR","6403.79934657056","1.18821616842231","0.0511076373091127","23.2492877969619","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144632683161731","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000391420491964872","103","UP","Adenosine Deaminase RNA Specific","Protein Coding","P55265",54,"GC01M160957",5.520029545,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR"
"4","ALDH1A1","972.603251058125","-2.96105797262458","0.0627426881381669","-47.1936740438023","0","0","216","DOWN","Aldehyde Dehydrogenase 1 Family Member A1","Protein Coding","P00352",56,"GC09M072900",6.208352566,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1A1"
"5","BCL2","79.2158687727892","1.72772504537064","0.124099402134257","13.9221061153985","0.0000000000000000000000000000000000000000000464997140246348","0.000000000000000000000000000000000000000000511107010371382","596","UP","BCL2 Apoptosis Regulator","Protein Coding","P10415",59,"GC18M063123",12.18681812,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"6","BCL9L","2563.16512765889","1.28135147365035","0.0482993992736653","26.5293459736463","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044465646865771","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164216713675326","283149","UP","BCL9 Like","Protein Coding","Q86UU0",38,"GC11M118893",8.953504562,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL9L"
"7","BDNF","28.0416124417952","1.26544614790127","0.221136067516598","5.72247739643958","0.0000000104981815389651","0.0000000404286204533352","627","UP","Brain Derived Neurotrophic Factor","Protein Coding","P23560",58,"GC11M027654",5.759802341,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"8","BMP2","844.981964684921","1.81398516904971","0.0547907690387702","33.1074960412789","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000231825311009416","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144731362817757","650","UP","Bone Morphogenetic Protein 2","Protein Coding","P12643",55,"GC20P006767",12.55071354,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"9","BMP4","821.878839771227","-3.46183744048594","0.0754747072162531","-45.8675173202984","0","0","652","DOWN","Bone Morphogenetic Protein 4","Protein Coding","P12644",58,"GC14M053949",11.58388138,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"10","CASP8","184.975237969785","-1.02255934352924","0.100532940109343","-10.1713860394122","0.00000000000000000000000266094868810937","0.0000000000000000000000188123810936768","841","DOWN","Caspase 8","Protein Coding","Q14790",61,"GC02P201233",5.776196003,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
