"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ABCB4","3.02826232138688","1.48103787152292","0.654206547745496","2.26386892125556","0.0235821779518976","0.04920564257178","5244","UP","ATP Binding Cassette Subfamily B Member 4","Protein Coding","P21439",55,"GC07M087365",6.249007702,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB4"
"2","ACE","1146.41690193371","-2.91538931093243","0.0734236115011322","-39.7064275554938","0","0","1636","DOWN","Angiotensin I Converting Enzyme","Protein Coding","P12821",60,"GC17P063477",9.331313133,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"3","ADAR","6403.79934657056","1.18821616842231","0.0511076373091127","23.2492877969619","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144632683161731","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000391420491964872","103","UP","Adenosine Deaminase RNA Specific","Protein Coding","P55265",54,"GC01M160957",7.043494225,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR"
"4","AIRE","8.53284459071328","4.77902266780354","0.600054457074813","7.96431492418313","0.00000000000000166141639057846","0.00000000000000877327487161806","326","UP","Autoimmune Regulator","Protein Coding","O43918",53,"GC21P044285",6.268417835,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"5","B2M","26120.2551396187","1.48730967375298","0.0365473201813534","40.6954508941481","0","0","567","UP","Beta-2-Microglobulin","Protein Coding","P61769",59,"GC15P044711",5.403986454,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"6","BANK1","9.41382368984858","1.9947648686112","0.403623478319708","4.94214280327655","0.000000772685842772339","0.00000263582150962481","55024","UP","B Cell Scaffold Protein With Ankyrin Repeats 1","Protein Coding","Q8NDB2",45,"GC04P101411",5.414735317,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANK1"
"7","BCL2","79.2158687727892","1.72772504537064","0.124099402134257","13.9221061153985","0.0000000000000000000000000000000000000000000464997140246348","0.000000000000000000000000000000000000000000511107010371382","596","UP","BCL2 Apoptosis Regulator","Protein Coding","P10415",59,"GC18M063123",6.946388721,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"8","BDNF","28.0416124417952","1.26544614790127","0.221136067516598","5.72247739643958","0.0000000104981815389651","0.0000000404286204533352","627","UP","Brain Derived Neurotrophic Factor","Protein Coding","P23560",58,"GC11M027654",7.907958031,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"9","BDNF-AS","7.67157651292226","-1.02399787474996","0.420053330265399","-2.43778063633725","0.0147777386203991","0.0321005019976803","497258","DOWN","BDNF Antisense RNA","RNA Gene","",29,"GC11P027466",17.09250832,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"10","C1R","231.14049244374","3.1751317028369","0.227487150035881","13.9574112310787","0.0000000000000000000000000000000000000000000283547367687285","0.000000000000000000000000000000000000000000313122804401134","715","UP","Complement C1r","Protein Coding","P00736",55,"GC12M029317",5.085259438,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1R"
