"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000237973",237.51136856988,-0.408331146926229,0.110646209389607,-3.6904214719947,0.000223882796757741,0.00600075048298162,"MTCO1P12","107075141","DOWN"
"ENSG00000248527",1610.13355730389,-0.346201590642362,0.0788212061451271,-4.39223919010995,0.0000112189173428438,0.000524456055178597,"MTATP6P1","106480796","DOWN"
"ENSG00000131584",868.170281785774,-0.220876773428157,0.0471638549730021,-4.68317896309775,0.0000028245969558608,0.000160068180143557,"ACAP3","116983","DOWN"
"ENSG00000221978",2880.38893385318,-0.110124556381707,0.0282800302421334,-3.89407491572043,0.0000985741846404978,0.00310341038446411,"CCNL2","81669","DOWN"
"ENSG00000197530",874.276352897044,-0.20556644052708,0.0538394722744612,-3.81813624545109,0.000134463663622178,0.0039805831678685,"MIB2","142678","DOWN"
"ENSG00000157873",1500.33859497749,-0.18029797436785,0.0400083616400473,-4.50650731439542,0.00000659034146732854,0.000331522829465179,"TNFRSF14","8764","DOWN"
"ENSG00000162591",1530.22752031109,-0.191795021782877,0.0475735313766647,-4.03154897760973,0.0000554104460243718,0.00195755377252514,"MEGF6","1953","DOWN"
"ENSG00000116251",7215.93317223402,0.0870476036334497,0.0283967453149819,3.0654077665557,0.00217373411401616,0.0332380225099122,"RPL22","6146","UP"
"ENSG00000215788",761.3024061476,-0.309449187352542,0.0530568149153961,-5.83241168634014,0.00000000546319218892325,0.000000708887479915985,"TNFRSF25","8718","DOWN"
"ENSG00000171680",2490.15873877243,-0.175144056944941,0.029295457152694,-5.97853981359821,0.00000000225146590517592,0.000000322261367293428,"PLEKHG5","57449","DOWN"
"ENSG00000171621",1016.84597271951,0.235845777856447,0.0468228410007637,5.0369813709638,0.000000472930788245558,0.000035685712304355,"SPSB1","80176","UP"
"ENSG00000142657",11712.4850203623,0.0580037979229231,0.0198049462902836,2.92875310403543,0.00340324628965673,0.0454770659149124,"PGD","5226","UP"
"ENSG00000116786",2342.88674658967,-0.130917009318611,0.0358636570033675,-3.65040880539087,0.000261823258411993,0.00679468059774227,"PLEKHM2","23207","DOWN"
"ENSG00000244038",7267.69769624157,0.0609685567907594,0.0175589164516758,3.47222774016564,0.000516158265387043,0.0115761401906853,"DDOST","1650","UP"
"ENSG00000184677",790.197641408571,-0.179783171371614,0.0466610801674827,-3.85295776965107,0.000116699523865426,0.00357208567844244,"ZBTB40","9923","DOWN"
"ENSG00000117318",1644.80521390079,0.160975134136314,0.0402276759100189,4.00160164600068,0.0000629151568716133,0.002194758889461,"ID3","3399","UP"
"ENSG00000142676",10029.4560929309,0.116425176985029,0.0269658147353707,4.31751008184135,0.0000157799203103224,0.000697733801237314,"RPL11","6135","UP"
"ENSG00000117643",49.0096597700155,0.840110231727878,0.126171566046346,6.65847510697685,0.0000000000276683138345527,0.00000000619591724643436,"MAN1C1","57134","UP"
"ENSG00000117632",4010.62123248935,-0.0994694490690575,0.033648800959157,-2.95610679232802,0.00311549198042051,0.0428272184714439,"STMN1","3925","DOWN"
"ENSG00000090020",2338.10388680835,-0.128489433370021,0.0332393153597486,-3.86558603808117,0.000110822771687416,0.00343451643327696,"SLC9A1","6548","DOWN"
"ENSG00000225886",31.5344625091663,-1.32928117946961,0.43661185653977,-3.04453752127671,0.00233038359347273,0.0350069203631171,NA,NA,"DOWN"
"ENSG00000162511",2593.46460512686,-0.0980395480985886,0.0312792509243992,-3.13433171195648,0.00172246021963332,0.0278822752626941,"LAPTM5","7805","DOWN"
"ENSG00000134668",512.005006663381,0.414794095962612,0.0767677422882588,5.40323427000213,0.0000000654498879122187,0.00000626693961222927,"SPOCD1","90853","UP"
"ENSG00000121774",4272.44561702131,0.0683527044550311,0.0200615541633109,3.40714901241481,0.000656452774949127,0.0137261902520989,"KHDRBS1","10657","UP"
"ENSG00000084652",1990.95419500722,0.125013484806739,0.0289539074274093,4.31767232523491,0.000015768328895966,0.000697733801237314,"TXLNA","200081","UP"
"ENSG00000084623",3100.21049907783,0.138557730768254,0.0248882229095464,5.56720065035688,0.0000000258864254601921,0.00000280786821163521,"EIF3I","8668","UP"
"ENSG00000183615",106.200604794658,0.601703779753547,0.121802441773769,4.93999767977663,0.000000781235004675666,0.0000538815364271371,"FAM167B","84734","UP"
"ENSG00000116478",3077.84668809398,0.0823725955775337,0.0248998288246809,3.3081591105512,0.000939114377829247,0.0180590914429103,"HDAC1","3065","UP"
"ENSG00000116560",3991.54212740596,-0.154862532664581,0.0261905828296124,-5.91290898992462,0.00000000336117918351963,0.000000471379917009965,"SFPQ","6421","DOWN"
"ENSG00000066056",17493.8585234111,-0.110256021661817,0.0287642855498157,-3.83308744000852,0.000126544947105847,0.00381117146554789,"TIE1","7075","DOWN"
"ENSG00000142949",8997.66226485846,-0.0838705106492433,0.0237672636818352,-3.52882484799223,0.000417409297783767,0.00982840700061293,"PTPRF","5792","DOWN"
"ENSG00000126107",1881.61662794697,-0.122924059599164,0.0278465552446332,-4.41433629830587,0.0000101320350851936,0.00048011322567518,"HECTD3","79654","DOWN"
"ENSG00000132763",69.6450743870001,-0.47778250844529,0.133864538841602,-3.56914917557544,0.00035814246203092,0.00873892784329928,"MMACHC","25974","DOWN"
"ENSG00000159658",2870.60758154335,-0.242252951979421,0.0298761430344815,-8.10857518320973,0.00000000000000051216770369394,0.000000000000203169611373905,"EFCAB14","9813","DOWN"
