"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000225886",31.5344625091663,-1.3246571855842,0.435597454671059,-3.04101222672321,0.00235784255906115,0.0331070964315007,NA,NA,"DOWN"
"ENSG00000116147",14.3083237506992,1.06549810031719,0.295805865836527,3.60201815911936,0.000315756301493761,0.00642535528116163,"TNR","7143","UP"
"ENSG00000123689",250.399326548147,-1.10946271919648,0.15560322389169,-7.13007540234986,0.0000000000010031395863307,0.000000000111188903693973,"G0S2","50486","DOWN"
"ENSG00000084734",41.3933956693087,-1.0121758903687,0.228092517004311,-4.43756728042757,0.00000909812885285233,0.000312475876164513,"GCKR","2646","DOWN"
"ENSG00000162882",14.4770683826096,2.7837792835065,0.884542811296435,3.14713911859894,0.00164876494496878,0.024869154546225,"HAAO","23498","UP"
"ENSG00000249992",160.239737941768,-1.08332181338666,0.196478775325266,-5.513683661725,0.0000000351399966745214,0.00000205653316537969,"TMEM158","25907","DOWN"
"ENSG00000010319",333.225888961429,1.02171929732133,0.0871073515196623,11.729426730311,0.0000000000000000000000000000000900665878929363,0.0000000000000000000000000000598983748846159,"SEMA3G","56920","UP"
"ENSG00000253161",35.1024211982382,-1.1714862245868,0.248265335921882,-4.71868624041583,0.00000237372596160169,0.0000948906681535365,NA,NA,"DOWN"
"ENSG00000138311",42.7090187477834,1.63427707663873,0.293631581556766,5.56574012909024,0.0000000261042030373184,0.00000155890038628166,"ZNF365","22891","UP"
"ENSG00000123095",19.1767045206955,-1.0688365255992,0.37145996598583,-2.87739359142668,0.00400975118360272,0.0495673601883856,"BHLHE41","79365","DOWN"
"ENSG00000140379",26.0721967640785,-1.51429403499486,0.403481437342734,-3.75306989329612,0.000174682124904491,0.00389393923422898,"BCL2A1","597","DOWN"
"ENSG00000271447",16.436572250831,1.29509609026238,0.252199099076137,5.13521299245959,0.000000281824664835313,0.0000136781004758278,"MMP28","79148","UP"
"ENSG00000171346",54.6846678004064,-1.02998153014575,0.175827049136416,-5.8579242227209,0.00000000468688406103149,0.000000321942726276769,"KRT15","3866","DOWN"
"ENSG00000197632",257.761357413992,-1.03185356181995,0.163756590527792,-6.30114219216617,0.000000000295460180953213,0.0000000242858309411599,"SERPINB2","5055","DOWN"
"ENSG00000196209",238.366936350911,1.0110958404307,0.0920376312869371,10.9856786435377,0.00000000000000000000000000044785983530461,0.000000000000000000000000242690268531176,"SIRPB2","284759","UP"
"ENSG00000102575",30.8970771246102,-1.28476532898936,0.196295908194219,-6.54504386162847,0.0000000000594779266429223,0.00000000537173793032467,"ACP5","54","DOWN"
"ENSG00000130300",36.3138668016224,1.59556580211087,0.259572230189722,6.14690485551813,0.000000000790094889248191,0.0000000608414648662647,"PLVAP","83483","UP"
"ENSG00000124440",28.6389812258791,-1.11819416571316,0.22347090366875,-5.00375730064015,0.000000562235353603843,0.0000259497333078165,"HIF3A","64344","DOWN"
"ENSG00000099937",70.3772067530679,-1.06129790632104,0.204082688245904,-5.20033284274587,0.000000198931958659812,0.0000100019707462258,"SERPIND1","3053","DOWN"
