"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ADAMTS1","202.439860280076","-1.65627167759382","0.104131742593434","-15.9055407731","0.0000000000000000000000000000000000000000000000000000000058000313158035","0.000000000000000000000000000000000000000000000000000000488403518068651","9510","DOWN","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 1","Protein Coding","Q9UHI8",52,"GC21M026835",6.125358105,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS1"
"2","ANGPTL4","206.487702104064","1.45651797564033","0.169574035896037","8.58927469611737","0.00000000000000000875200459400442","0.000000000000000191851568594489","51129","UP","Angiopoietin Like 4","Protein Coding","Q9BY76",53,"GC19P008363",5.061609268,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL4"
"3","CD34","2163.57960277814","-1.33257029981587","0.0833519100228828","-15.9872797090077","0.0000000000000000000000000000000000000000000000000000000015672686555767","0.000000000000000000000000000000000000000000000000000000133148179339327","947","DOWN","CD34 Molecule","Protein Coding","P28906",54,"GC01M207880",8.357566833,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34"
"4","COL4A1","34811.8446292989","1.63341830939476","0.0278183212737866","58.7173572883403","0","0","1282","UP","Collagen Type IV Alpha 1 Chain","Protein Coding","P02462",56,"GC13M110148",5.826243401,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1"
"5","COL4A2","33943.0971002127","1.47968373785636","0.0261558655416705","56.5717749045231","0","0","1284","UP","Collagen Type IV Alpha 2 Chain","Protein Coding","P08572",55,"GC13P110305",6.50639534,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A2"
"6","CXCL8","7531.69583489707","-1.10005371752279","0.12941796115823","-8.50000809530472","0.0000000000000000189577475265771","0.000000000000000406252627769642","3576","DOWN","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145",53,"GC04P073740",13.02593422,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"7","ENG","11105.9891690706","1.41826907416295","0.0242595362120387","58.4623325758035","0","0","2022","UP","Endoglin","Protein Coding","P17813",56,"GC09M127815",19.03977394,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"8","F2RL1","1598.94186274127","1.90044646686878","0.0814591757882154","23.3300478243203","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219741801011266","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000531691712193716","2150","UP","F2R Like Trypsin Receptor 1","Protein Coding","P55085",53,"GC05P076818",5.15542841,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1"
"9","MMP1","711.161239562398","-1.27675940041005","0.1170535707524","-10.9074793037347","0.00000000000000000000000000106159181539801","0.000000000000000000000000037233628534556","4312","DOWN","Matrix Metallopeptidase 1","Protein Coding","P03956",59,"GC11M126178",5.948407173,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"10","MMP2","17017.5500801297","1.3571291339824","0.034416724337128","39.4322574306806","0","0","4313","UP","Matrix Metallopeptidase 2","Protein Coding","P08253",61,"GC16P082389",14.56989002,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"11","NDP","3.36869029331528","-3.12374588743897","0.806356638659545","-3.87390112225251","0.000107106883492789","0.000670821781770856","4693","DOWN","Norrin Cystine Knot Growth Factor NDP","Protein Coding","Q00604",51,"GC0XM043948",6.882832527,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"12","PDGFB","5194.67020570658","1.1476281481831","0.029582937651767","38.7935830339876","0","0","5155","UP","Platelet Derived Growth Factor Subunit B","Protein Coding","P01127",60,"GC22M077951",10.09402847,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB"
"13","SERPINE1","132950.208966544","1.3007596784386","0.0267948576338519","48.545123702962","0","0","5054","UP","Serpin Family E Member 1","Protein Coding","P05121",59,"GC07P101127",6.961087227,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"14","TGFB2","85.5529358031596","1.93867312111911","0.162433684305303","11.935166830762","0.00000000000000000000000000000000776031466246309","0.000000000000000000000000000000334095528767978","7042","UP","Transforming Growth Factor Beta 2","Protein Coding","P61812",60,"GC01P218345",10.62831402,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2"
"15","UNC5B","241.878510902364","-1.12369413018482","0.0934677334021811","-12.0222678916337","0.0000000000000000000000000000000027141817703731","0.000000000000000000000000000000119542821522308","219699","DOWN","Unc-5 Netrin Receptor B","Protein Coding","Q8IZJ1",44,"GC10P071212",5.527231216,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC5B"
