"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ADAM12","77.2050082650359","1.82781088343776","0.159462813890452","11.4623017043549","0.00000000000000000000000000000204019650520597","0.0000000000000000000000000000809094526908967","8038","UP","ADAM Metallopeptidase Domain 12","Protein Coding","O43184",53,"GC10M126012",5.064745426,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM12"
"2","CDKL2","10.2900251179172","-1.34783394459465","0.412197474651663","-3.26987433810376","0.00107595270199762","0.00543808458452792","8999","DOWN","Cyclin Dependent Kinase Like 2","Protein Coding","Q92772",43,"GC04M075576",6.369935513,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKL2"
"3","CLDN11","8575.70852234833","-1.05317188579","0.0410443005862679","-25.6593941362558","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033213474702137","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000976731644509768","5010","DOWN","Claudin 11","Protein Coding","O75508",50,"GC03P170418",7.831923485,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN11"
"4","CLDN5","5930.57343384557","-1.13501675491024","0.0369502250356556","-30.7174517561121","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000332847329165991","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192799293848725","7122","DOWN","Claudin 5","Protein Coding","O00501",48,"GC22M019523",7.698586941,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN5"
"5","COL4A1","34811.8446292989","1.63341830939476","0.0278183212737866","58.7173572883403","0","0","1282","UP","Collagen Type IV Alpha 1 Chain","Protein Coding","P02462",56,"GC13M110148",8.356235504,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1"
"6","COL4A2","33943.0971002127","1.47968373785636","0.0261558655416705","56.5717749045231","0","0","1284","UP","Collagen Type IV Alpha 2 Chain","Protein Coding","P08572",55,"GC13P110305",5.789833546,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A2"
"7","CXCL8","7531.69583489707","-1.10005371752279","0.12941796115823","-8.50000809530472","0.0000000000000000189577475265771","0.000000000000000406252627769642","3576","DOWN","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145",53,"GC04P073740",10.736866,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"8","DPP4","217.189986550816","-1.26418012935344","0.086284762612372","-14.6512558078496","0.00000000000000000000000000000000000000000000000132248585378411","0.0000000000000000000000000000000000000000000000936271003521602","1803","DOWN","Dipeptidyl Peptidase 4","Protein Coding","P27487",58,"GC02M161992",5.111523151,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"9","EDN1","4194.54662449931","1.41308079375492","0.0325506877019334","43.4117032086847","0","0","1906","UP","Endothelin 1","Protein Coding","P05305",58,"GC06P012236",6.647990227,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"10","ENG","11105.9891690706","1.41826907416295","0.0242595362120387","58.4623325758035","0","0","2022","UP","Endoglin","Protein Coding","P17813",56,"GC09M127815",7.21360302,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
