"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","AIRE","8.53284459071328","1.66940295159624","0.660286977699781","2.52829906991636","0.0114616671553128","0.0436173138908627","326","UP","Autoimmune Regulator","Protein Coding","O43918",53,"GC21P044285",6.268417835,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"2","CX3CL1","1024.77031783746","1.41346955781413","0.234926368780608","6.01664923844344","0.00000000178064337021753","0.0000000204672267117908","6376","UP","C-X3-C Motif Chemokine Ligand 1","Protein Coding","P78423",53,"GC16P057372",6.851677895,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CL1"
"3","CXCL8","7531.69583489707","-1.10005371752279","0.12941796115823","-8.50000809530472","0.0000000000000000189577475265771","0.000000000000000406252627769642","3576","DOWN","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145",53,"GC04P073740",28.51713753,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"4","DPP4","217.189986550816","-1.26418012935344","0.086284762612372","-14.6512558078496","0.00000000000000000000000000000000000000000000000132248585378411","0.0000000000000000000000000000000000000000000000936271003521602","1803","DOWN","Dipeptidyl Peptidase 4","Protein Coding","P27487",58,"GC02M161992",5.755966187,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"5","EDN1","4194.54662449931","1.41308079375492","0.0325506877019334","43.4117032086847","0","0","1906","UP","Endothelin 1","Protein Coding","P05305",58,"GC06P012236",7.219728947,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"6","ENG","11105.9891690706","1.41826907416295","0.0242595362120387","58.4623325758035","0","0","2022","UP","Endoglin","Protein Coding","P17813",56,"GC09M127815",6.734638214,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"7","F2RL1","1598.94186274127","1.90044646686878","0.0814591757882154","23.3300478243203","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219741801011266","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000531691712193716","2150","UP","F2R Like Trypsin Receptor 1","Protein Coding","P55085",53,"GC05P076818",8.154419899,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1"
"8","HLA-DRB1","11.0534244006923","1.23598700576524","0.412013979276958","2.9998666742674","0.0027009780584991","0.0124317831900338","3123","UP","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911",55,"GC06M093834",19.44565964,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"9","IL33","95.5869739748074","-1.75775278395914","0.129183234008631","-13.606663414555","0.00000000000000000000000000000000000000000365555550755169","0.000000000000000000000000000000000000000207964117639436","90865","DOWN","Interleukin 33","Protein Coding","O95760",48,"GC09P009214",10.99939537,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL33"
"10","LPL","2.50014148203916","4.21467813933621","0.958380652195924","4.39770787283652","0.0000109400088830174","0.0000809281229871817","4023","UP","Lipoprotein Lipase","Protein Coding","P06858",59,"GC08P019901",7.444036484,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"11","MMP1","711.161239562398","-1.27675940041005","0.1170535707524","-10.9074793037347","0.00000000000000000000000000106159181539801","0.000000000000000000000000037233628534556","4312","DOWN","Matrix Metallopeptidase 1","Protein Coding","P03956",59,"GC11M126178",13.51337433,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
