"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","GO:0048018","receptor ligand activity","101/1481","500/18089",0.00000000000000000835626535265856,0.00000000000000739434916311122,0.0000000000000065076614207993,"FNDC5/CSF1/SEMA6C/SEMA4A/TNFSF18/TGFB2/WNT9A/ALKAL2/EFEMP1/SEMA4C/IL1A/IL1B/INHBB/CCL20/ERFE/GHRL/SEMA3G/IL12A/TNFSF10/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/BTC/CXCL9/CXCL10/CXCL11/FGF5/IL15/VEGFC/SEMA5A/TSLP/SEMA6A/CSF2/NRG2/HBEGF/STC2/LTA/TNF/LTB/PDGFA/IL6/INHBA/SEMA3C/HGF/SEMA3D/EDA/FGF20/STC1/NRG1/IL7/OSGIN2/TNFRSF11B/COLEC10/IL33/IFNB1/IFNE/TNFSF15/IGF2/BDNF/GAL/NRG3/GDF3/SPX/WNT10B/IL23A/KITLG/TNFSF11/TNFSF13B/BMP4/GMFB/GREM1/DLL4/SEMA6D/SEMA7A/IL32/CX3CL1/CCL17/IL34/CXCL16/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23/CSF3/SECTM1/BMP2/JAG1/FLRT3/EBI3/TNFSF9/CD70/GDF15/LIF/ADM2/TYMP",101
"GO:0005125","GO:0005125","cytokine activity","63/1481","236/18089",0.0000000000000000143440332941052,0.00000000000000739434916311122,0.0000000000000065076614207993,"CSF1/TNFSF18/TGFB2/WNT9A/ALKAL2/IL1A/IL1B/INHBB/CCL20/IL12A/TNFSF10/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/IL15/TSLP/CSF2/LTA/TNF/LTB/IL6/INHBA/NRG1/IL7/TNFRSF11B/IL33/IFNB1/IFNE/TNFSF15/GDF3/WNT10B/IL23A/KITLG/TNFSF11/TNFSF13B/BMP4/GREM1/IL32/CX3CL1/CCL17/IL34/CXCL16/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23/CSF3/SECTM1/BMP2/EBI3/TNFSF9/CD70/GDF15/LIF",63
"GO:0005126","GO:0005126","cytokine receptor binding","66/1481","268/18089",0.000000000000000207144589164121,0.0000000000000711886904760696,0.0000000000000626521529331482,"CSF1/NTRK1/TNFSF18/TGFB2/IL1A/IL1B/STAT1/CCL20/MYD88/CCRL2/IL12A/TNFSF10/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/IL15/VEGFC/ERAP1/TSLP/CSF2/LTA/TNF/LTB/IL6/EDA/IL7/IL33/IFNB1/IFNE/TNFSF15/TRAF1/BDNF/IL23A/KITLG/SOCS2/TNFSF11/TNFSF13B/TRAF3/GREM1/SMAD3/CX3CL1/CCL17/IL34/CXCL16/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23/CSF3/EBI3/LRG1/TNFSF9/CD70/JAK3/IL12RB1/CADM4/LIF",66
"GO:0008009","GO:0008009","chemokine activity","20/1481","47/18089",0.00000000018332855123792,0.0000000472529340815739,0.0000000415866345176545,"CCL20/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CX3CL1/CCL17/CXCL16/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23",20
"GO:0019955","GO:0019955","cytokine binding","36/1481","144/18089",0.000000000901312092925705,0.00000018585055356128,0.000000163564426126728,"TNFRSF14/LEPR/GBP1/ACKR1/IL1R1/IL1RL1/IL18R1/CXCR4/ITGAV/ACKR3/CCR4/CCRL2/ACKR4/IL20RB/IL12A/CHRD/KIT/BMPR1B/GHR/CD74/CD36/IL3RA/IL2RG/BGN/IL18BP/IL10RA/A2M/GREM1/TCAP/CCR7/CCR10/TNFRSF11A/EBI3/IL27RA/IL12RB1/ZFP36",36
"GO:0004896","GO:0004896","cytokine receptor activity","28/1481","96/18089",0.00000000158634825895801,0.000000272587509164284,0.000000239900385828386,"LEPR/IL1R1/IL1RL1/IL18R1/IL18RAP/CXCR4/ACKR3/CCR4/CCRL2/ACKR4/IL20RB/IL7R/GHR/CD74/IL3RA/IL2RG/CD44/IL10RA/IL15RA/CMKLR1/IL21R/CCR7/CCR10/EBI3/IL27RA/IL12RB1/CSF2RB/IFNGR2",28
"GO:0140375","GO:0140375","immune receptor activity","34/1481","142/18089",0.00000000865639647346782,0.00000127496353773505,0.00000112207725716229,"LEPR/FCGR2A/MR1/IL1R1/IL1RL1/IL18R1/IL18RAP/CXCR4/ACKR3/CCR4/CCRL2/ACKR4/IL20RB/IL7R/GHR/CD74/HLA-DRB1/HLA-DPA1/IL3RA/IL2RG/CD44/IL10RA/IL15RA/C3AR1/CMKLR1/CTSH/IL21R/CCR7/CCR10/EBI3/IL27RA/IL12RB1/CSF2RB/IFNGR2",34
"GO:0042379","GO:0042379","chemokine receptor binding","22/1481","69/18089",0.0000000144667162814108,0.00000186439806076681,0.00000164083018876001,"STAT1/CCL20/CCRL2/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CX3CL1/CCL17/CXCL16/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23",22
"GO:0045499","GO:0045499","chemorepellent activity","13/1481","28/18089",0.0000000819936722696125,0.00000939283067888561,0.00000826649654928725,"SEMA6C/SEMA4A/SEMA4C/SEMA3G/SEMA5A/SEMA6A/SEMA3C/SEMA3D/NRG1/NRG3/SEMA6D/SEMA7A/FLRT3",13
"GO:0005201","GO:0005201","extracellular matrix structural constituent","35/1481","166/18089",0.000000161077501982461,0.0000166070904543917,0.0000146156638640928,"AGRN/VWA1/MATN1/TINAGL1/COL16A1/COL8A2/COL9A2/LAMC2/LAMB3/NID1/EFEMP1/COL3A1/COL8A1/ABI3BP/MUC4/MMRN1/COL25A1/EDIL3/COL11A2/COL21A1/TFPI2/COL1A2/BGN/CTHRC1/COL14A1/TNC/COL17A1/VWF/MGP/POSTN/COL4A1/COL4A2/NID2/LAMA1/COL5A3",35
