"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000225630",58.6687395784808,-0.396228025385407,0.155483878343773,-2.54835439922171,0.0108232456338284,0.0269798007513169,"MTND2P28","100652939","DOWN"
"ENSG00000248527",1610.13355730389,-0.297478842607664,0.0787402698047962,-3.77797591175569,0.000158108167395379,0.000518942231204945,"MTATP6P1","106480796","DOWN"
"ENSG00000188976",1706.31973396568,0.163425007952244,0.0317119799431124,5.15341546776358,0.000000255784403402092,0.00000108273652661632,"NOC2L","26155","UP"
"ENSG00000187583",54.6921228768942,2.40758393784858,0.186141095329313,12.934188087747,0.0000000000000000000000000000000000000288656340909931,0.000000000000000000000000000000000000383774703613153,"PLEKHN1","84069","UP"
"ENSG00000187642",11.1317310422511,1.97875713695209,0.439085767830361,4.50653899972585,0.0000065893578887466,0.0000249923267143252,"PERM1","84808","UP"
"ENSG00000188290",440.747290952196,0.994780045801292,0.0790204434983513,12.5888947437007,0.00000000000000000000000000000000000243052709072681,0.0000000000000000000000000000000000308210686803128,"HES4","57801","UP"
"ENSG00000187608",2125.66452187179,4.49625473041291,0.214888041812213,20.9237084227428,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000325770010214078,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108738988274993,"ISG15","9636","UP"
"ENSG00000224969",3.43925696702806,2.91631092407747,0.739160246402666,3.94543799977141,0.0000796542412706221,0.000272074169886439,NA,NA,"UP"
"ENSG00000188157",16077.7972652838,1.27045971398965,0.0378775417578538,33.5412398753734,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120815294533571,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162921150611299,"AGRN","375790","UP"
"ENSG00000217801",60.1188528317813,1.10181799012531,0.147427656236891,7.47361803239194,0.0000000000000780193938133215,0.000000000000485543163133063,NA,NA,"UP"
"ENSG00000131591",190.706054520023,0.510457206072673,0.0763530519796732,6.68548529282848,0.0000000000230160636381278,0.000000000125614265910309,"C1orf159","54991","UP"
"ENSG00000186891",6.52710445635004,3.36611258251491,0.487887408012995,6.89936351549628,0.00000000000522360472937893,0.0000000000295899779185342,"TNFRSF18","8784","UP"
"ENSG00000186827",151.75674240092,4.82189399247398,0.155513071236811,31.0063582059371,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000442517099130641,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000438779874890084,"TNFRSF4","7293","UP"
"ENSG00000078808",5860.62372332998,0.657973297449513,0.0237336246765947,27.723253671336,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000366241900515732,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255708361250614,"SDF4","51150","UP"
"ENSG00000160087",1442.82655124882,0.141842599912551,0.0325346787983655,4.35973567747893,0.0000130219640315379,0.0000482880781238629,"UBE2J2","118424","UP"
"ENSG00000131584",868.170281785774,-0.272968828001818,0.0472302974059646,-5.77952803590319,0.00000000749104708878775,0.0000000352715922283125,"ACAP3","116983","DOWN"
"ENSG00000127054",1940.48203544779,-0.148563823563486,0.031586886098709,-4.70333869249487,0.00000255941318908333,0.0000100531943823531,"INTS11","54973","DOWN"
"ENSG00000224051",696.363432480012,-0.222274049924751,0.0491793626177829,-4.51966105482585,0.00000619387139429099,0.0000235414996028141,"CPTP","80772","DOWN"
"ENSG00000162576",29.6492078819344,-0.868218982973113,0.213773144787374,-4.06140342762264,0.0000487785956471775,0.000170891638758572,"MXRA8","54587","DOWN"
"ENSG00000175756",1010.59862870701,0.118783219908245,0.0442012275606316,2.6873285305325,0.00720260720840192,0.0185764292361833,"AURKAIP1","54998","UP"
"ENSG00000221978",2880.38893385318,-0.514163316029502,0.0288864703392462,-17.7994510921932,0.0000000000000000000000000000000000000000000000000000000000000000000000713649103847101,0.00000000000000000000000000000000000000000000000000000000000000000000170978733012058,"CCNL2","81669","DOWN"
"ENSG00000242485",779.190131464552,-0.153502647556042,0.0419892750364078,-3.65575846267754,0.000256422706637709,0.000816201706763324,"MRPL20","55052","DOWN"
"ENSG00000179403",51.7878215776707,1.52347930055372,0.212682272726799,7.16317011766516,0.000000000000788324209433995,0.00000000000466023622706234,"VWA1","64856","UP"
"ENSG00000160072",649.2900422669,0.303818221925013,0.0580743376007245,5.23154003087971,0.000000168103620652383,0.000000718933915145994,"ATAD3B","83858","UP"
"ENSG00000205090",70.9996371119055,-0.4139915753273,0.136158207825403,-3.04051868733589,0.0023617103522796,0.00659417920059706,"TMEM240","339453","DOWN"
