"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000187583",54.6921228768942,2.40758393784858,0.186141095329313,12.934188087747,0.0000000000000000000000000000000000000288656340909931,0.000000000000000000000000000000000000383774703613153,"PLEKHN1","84069","UP"
"ENSG00000187642",11.1317310422511,1.97875713695209,0.439085767830361,4.50653899972585,0.0000065893578887466,0.0000249923267143252,"PERM1","84808","UP"
"ENSG00000187608",2125.66452187179,4.49625473041291,0.214888041812213,20.9237084227428,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000325770010214078,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108738988274993,"ISG15","9636","UP"
"ENSG00000224969",3.43925696702806,2.91631092407747,0.739160246402666,3.94543799977141,0.0000796542412706221,0.000272074169886439,NA,NA,"UP"
"ENSG00000188157",16077.7972652838,1.27045971398965,0.0378775417578538,33.5412398753734,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120815294533571,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162921150611299,"AGRN","375790","UP"
"ENSG00000217801",60.1188528317813,1.10181799012531,0.147427656236891,7.47361803239194,0.0000000000000780193938133215,0.000000000000485543163133063,NA,NA,"UP"
"ENSG00000186891",6.52710445635004,3.36611258251491,0.487887408012995,6.89936351549628,0.00000000000522360472937893,0.0000000000295899779185342,"TNFRSF18","8784","UP"
"ENSG00000186827",151.75674240092,4.82189399247398,0.155513071236811,31.0063582059371,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000442517099130641,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000438779874890084,"TNFRSF4","7293","UP"
"ENSG00000179403",51.7878215776707,1.52347930055372,0.212682272726799,7.16317011766516,0.000000000000788324209433995,0.00000000000466023622706234,"VWA1","64856","UP"
"ENSG00000215914",2.40480832728289,1.77820687573563,0.764332489904085,2.32648343387676,0.0199927752192348,0.0470117080907456,"MMP23A","8511","UP"
"ENSG00000231050",4.12110212557212,2.2453439966979,0.731421596558687,3.06983551929854,0.00214176687178429,0.0060242617887053,"GNB1-DT","105378949","UP"
"ENSG00000238164",109.018215053867,1.0137565975295,0.117162343006236,8.6525804411025,0.00000000000000000503478452041405,0.0000000000000000374695300842797,NA,NA,"UP"
"ENSG00000157873",1500.33859497749,1.19224232892115,0.0372511576780891,32.0055107877202,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000913955981850027,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102706891503232,"TNFRSF14","8764","UP"
"ENSG00000142606",8.15613114975132,2.41970605578753,0.439518660369822,5.50535454797647,0.000000036842603887098,0.000000166115515691942,"MMEL1","79258","UP"
"ENSG00000130762",20.8986980734237,1.84340957941886,0.259506833190193,7.10351075059291,0.00000000000121626882359579,0.00000000000712580138233295,"ARHGEF16","27237","UP"
"ENSG00000225077",1.41417418565666,2.68071215597529,0.946556143844235,2.83206883543976,0.00462478913980589,0.0123266770849649,NA,NA,"UP"
"ENSG00000162413",1368.48849693406,1.17224267234976,0.052780109761219,22.2099324471485,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027535127638652,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104806689862024,"KLHL21","9903","UP"
"ENSG00000049249",130.987864380086,7.49133367604995,0.382172088335223,19.6019905814757,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000148692052382459,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000424816433919328,"TNFRSF9","3604","UP"
"ENSG00000281937",2.94206615716513,-1.86875869041522,0.780127193171679,-2.39545385261806,0.016599803674693,0.0396858238191753,NA,NA,"DOWN"
"ENSG00000130940",134.237045309756,1.74343866910532,0.102353597539875,17.0334869609846,0.000000000000000000000000000000000000000000000000000000000000000046357686830136,0.000000000000000000000000000000000000000000000000000000000000000997260757980292,"CASZ1","54897","UP"
"ENSG00000272078",17.3931200521934,1.6069346366074,0.27286900547705,5.88903321503311,0.00000000388461375087206,0.0000000186213690649664,NA,NA,"UP"
"ENSG00000116663",145.450427401961,2.68183965849331,0.124978559493208,21.4583978993537,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038121441075532,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134072710572501,"FBXO6","26270","UP"
"ENSG00000116771",14.8520764230222,1.05125050599459,0.300828664524802,3.49451574920619,0.000474922588432711,0.00146467566184312,"AGMAT","79814","UP"
"ENSG00000224321",4.12392030215121,2.84413404266413,0.635875691648975,4.47278309269634,0.00000772080846819942,0.0000291525374465661,NA,NA,"UP"
"ENSG00000237276",38.8151204201833,2.39063838180399,0.223068157470715,10.7170759328024,0.00000000000000000000000000846368618323326,0.0000000000000000000000000833268795319657,NA,NA,"UP"
"ENSG00000228549",6.23841693370237,-1.45617961433983,0.468048554380709,-3.11117212244475,0.00186346286604797,0.0052995734123724,"LINC03126","112267871","DOWN"
"ENSG00000074964",264.18432434176,1.14491682183889,0.0751925919608143,15.2264577132219,0.000000000000000000000000000000000000000000000000000236038326514233,0.00000000000000000000000000000000000000000000000000409277624350432,"ARHGEF10L","55160","UP"
"ENSG00000270728",8.62783989331488,-1.01813162755028,0.42643114056441,-2.38756397153059,0.016960450729372,0.0404537777200779,NA,NA,"DOWN"
"ENSG00000158825",3.14236852794108,-3.47928593676025,1.01271893069289,-3.43558891940509,0.000591267394596742,0.00179926747196499,"CDA","978","DOWN"
"ENSG00000117245",18.2337241797986,2.10235353992031,0.266494010655055,7.88893354395706,0.00000000000000304779757765693,0.0000000000000202263709322626,"KIF17","57576","UP"
"ENSG00000189410",72.9768564010352,1.72573545885434,0.151196422505781,11.4138643643394,0.0000000000000000000000000000035653021392154,0.0000000000000000000000000000386661604702869,"SH2D5","400745","UP"
"ENSG00000162551",7.0617520541559,2.69398081224968,0.642348829325887,4.19395301938492,0.0000274134782089253,0.0000984973617923915,"ALPL","249","UP"
"ENSG00000179546",252.510383788672,-1.25399891264507,0.0848053689989025,-14.7867868207884,0.0000000000000000000000000000000000000000000000001782629593968,0.00000000000000000000000000000000000000000000000293158716293037,"HTR1D","3352","DOWN"
"ENSG00000249087",74.0809622797276,-1.45209351394896,0.147327936028994,-9.85619939495516,0.0000000000000000000000644426334844864,0.000000000000000000000560760216666812,"ZNF436-AS1","148898","DOWN"
"ENSG00000142661",7.2612658003231,1.85107535985711,0.51991819825113,3.56032038517529,0.000370402597003582,0.0011580724545161,"MYOM3","127294","UP"
"ENSG00000117643",49.0096597700155,-2.08534729364527,0.176096204362724,-11.8420910955574,0.0000000000000000000000000000000236482168899854,0.000000000000000000000000000000269992390124222,"MAN1C1","57134","DOWN"
"ENSG00000158008",1.18227991055964,3.82017124575337,1.14992889474378,3.32209344700792,0.000893447664140403,0.00265413789351075,"EXTL1","2134","UP"
"ENSG00000158014",1.50927303104688,3.69540621566993,1.09892928894644,3.36273339225745,0.000771748579745847,0.00231652184347777,"SLC30A2","7780","UP"
"ENSG00000158022",2.15998383525141,4.6729789531453,1.08556758226922,4.30464121209029,0.000016725657886101,0.0000614715465588065,"TRIM63","84676","UP"
"ENSG00000176092",0.771097948924505,2.96862027592855,1.21035118950548,2.45269331882217,0.0141791167387578,0.0344642059859867,"CRYBG2","55057","UP"
"ENSG00000158246",9.49427147891427,1.19855575919978,0.400212642578041,2.99479734442937,0.00274627237291813,0.00759335462548272,"TENT5B","115572","UP"
"ENSG00000233975",0.758501305319358,4.53150206718386,1.68501830133243,2.6892895249865,0.00716042856852773,0.0184858280044509,"LINC02574","111216282","UP"
"ENSG00000126709",4850.97668322835,5.81567180612748,0.364032289591701,15.9757031791063,0.00000000000000000000000000000000000000000000000000000000188714181042757,0.0000000000000000000000000000000000000000000000000000000354011602418761,"IFI6","2537","UP"
"ENSG00000225886",31.5344625091663,4.05256057078107,0.277676149504991,14.5945576456801,0.00000000000000000000000000000000000000000000000304179267134926,0.0000000000000000000000000000000000000000000000488653949973936,NA,NA,"UP"
"ENSG00000130775",612.224840821147,1.6011259939365,0.0649363952803124,24.6568351542287,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000310855786640234,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000154115245985775,"THEMIS2","9473","UP"
