"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ABCG2","143.408564325036","-3.44787465665209","0.155255897556977","-22.2076887957623","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289448416465297","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109995059261909","9429","DOWN","ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)","Protein Coding","Q9UNQ0",59,"GC04M088090",5.937819004,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2"
"2","ADAR","6403.79934657056","1.35954826390275","0.0510712614460044","26.6206125599647","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000391918851360636","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000243391920348938","103","UP","Adenosine Deaminase RNA Specific","Protein Coding","P55265",54,"GC01M160957",5.520029545,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR"
"3","ALDH1A1","972.603251058125","-2.21145952844642","0.0550986359241192","-40.1363752723752","0","0","216","DOWN","Aldehyde Dehydrogenase 1 Family Member A1","Protein Coding","P00352",56,"GC09M072900",6.208352566,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1A1"
"4","BCL2","79.2158687727892","1.01685368607953","0.128912795294916","7.88791899014566","0.00000000000000307267105587489","0.0000000000000203857082506583","596","UP","BCL2 Apoptosis Regulator","Protein Coding","P10415",59,"GC18M063123",12.18681812,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"5","BCL9L","2563.16512765889","1.16841060920356","0.0483592326066073","24.161065968692","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000571264998992741","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264338876690778","283149","UP","BCL9 Like","Protein Coding","Q86UU0",38,"GC11M118893",8.953504562,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL9L"
"6","BDNF","28.0416124417952","1.21109610011827","0.221672929833319","5.46343706030736","0.0000000467002896900677","0.000000208845961037693","627","UP","Brain Derived Neurotrophic Factor","Protein Coding","P23560",58,"GC11M027654",5.759802341,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"7","BMP2","844.981964684921","1.53317690293453","0.0551356653134088","27.807352903415","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000353476613530489","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024975133541036","650","UP","Bone Morphogenetic Protein 2","Protein Coding","P12643",55,"GC20P006767",12.55071354,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"8","BMP4","821.878839771227","-2.2106983392113","0.0587601372984448","-37.6224161625608","0","0","652","DOWN","Bone Morphogenetic Protein 4","Protein Coding","P12644",58,"GC14M053949",11.58388138,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"9","CCL2","3948.66296024455","5.05113358167082","0.0771791509430017","65.446866413459","0","0","6347","UP","C-C Motif Chemokine Ligand 2","Protein Coding","P13500",58,"GC17P034255",9.114230156,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"10","CCL5","429.368049719751","8.85487321209192","0.487682135352325","18.1570588098224","0.000000000000000000000000000000000000000000000000000000000000000000000000112914209128995","0.00000000000000000000000000000000000000000000000000000000000000000000000279314719207039","6352","UP","C-C Motif Chemokine Ligand 5","Protein Coding","P13501",52,"GC17M035871",6.93969202,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
