"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ADAMTSL1","839.05763186032","1.03226275293928","0.0460786333242235","22.4021998585756","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000374616553356636","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000336606678674597","92949","UP","ADAMTS Like 1","Protein Coding","Q8N6G6",50,"GC09P017906",5.549712181,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL1"
"2","ANGPT1","6.05570449369247","-1.44943185197503","0.534941067814765","-2.70951687799175","0.00673812767722416","0.0192155301480277","284","DOWN","Angiopoietin 1","Protein Coding","Q15389",54,"GC08M107246",19.65593338,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1"
"3","BDNF-AS","7.67157651292226","-1.25957293957902","0.442517444991262","-2.84638030395365","0.00442193497577868","0.0131427256561264","497258","DOWN","BDNF Antisense RNA","RNA Gene","",29,"GC11P027466",6.794160843,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"4","BMP4","821.878839771227","-1.50760379590984","0.0540460947131688","-27.8947776691532","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030870884718451","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000509231370012419","652","DOWN","Bone Morphogenetic Protein 4","Protein Coding","P12644",58,"GC14M053949",5.862859726,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"5","CCL2","3948.66296024455","3.28256537032028","0.0776554000498869","42.2709221536624","0","0","6347","UP","C-C Motif Chemokine Ligand 2","Protein Coding","P13500",58,"GC17P034255",9.41977787,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"6","CD34","2163.57960277814","-2.4100119985336","0.085017575039172","-28.3472211177886","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000905690948748054","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158884069294659","947","DOWN","CD34 Molecule","Protein Coding","P28906",54,"GC01M207880",8.357566833,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34"
"7","CD36","12.5003752533021","-2.41051117955916","0.391516977359197","-6.15684968712771","0.000000000742062175640249","0.00000000508921574010303","948","DOWN","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671",59,"GC07P080369",8.757829666,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"8","CD44","7964.28243408021","1.24104363897519","0.0411005848296716","30.1952793158128","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273191102449398","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000670957347615721","960","UP","CD44 Molecule (IN Blood Group)","Protein Coding","P16070",57,"GC11P035139",5.171790123,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"9","CXCL10","220.524943662102","3.37186056742694","0.587742936136255","5.73696485336447","0.00000000963882493362676","0.0000000595962479252828","3627","UP","C-X-C Motif Chemokine Ligand 10","Protein Coding","P02778",53,"GC04M076021",6.061546326,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"10","CXCL8","7531.69583489707","3.56976873293014","0.12443538749441","28.6877294699669","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000542771645388565","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000991522681790813","3576","UP","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145",53,"GC04P073740",13.02593422,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"11","DLL4","1176.31581220001","-1.2673223280963","0.0551477444220358","-22.9804925183832","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730541563397974","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000702082205102122","54567","DOWN","Delta Like Canonical Notch Ligand 4","Protein Coding","Q9NR61",56,"GC15P040929",11.63323593,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLL4"
"12","F2RL1","1598.94186274127","1.71635922169258","0.0817430624814645","20.9970016976275","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000698575072413739","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000534301155731255","2150","UP","F2R Like Trypsin Receptor 1","Protein Coding","P55085",53,"GC05P076818",5.15542841,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1"
"13","F3","34.2980133096578","1.36953554450401","0.234892034033029","5.83048952742021","0.00000000552650074372397","0.0000000349621558212005","2152","UP","Coagulation Factor III, Tissue Factor","Protein Coding","P13726",54,"GC01M094873",8.129463196,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"14","FGF2","244.167936546236","-1.40964442777694","0.0985340029410833","-14.3061723435697","0.000000000000000000000000000000000000000000000200234818155886","0.00000000000000000000000000000000000000000000609640553790317","2247","DOWN","Fibroblast Growth Factor 2","Protein Coding","P09038",54,"GC04P122826",25.39114952,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"15","ICAM1","7279.30129397316","4.22015153716905","0.0908515329094997","46.4510768505456","0","0","3383","UP","Intercellular Adhesion Molecule 1","Protein Coding","P05362",59,"GC19P112296",5.930800915,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"16","IL1B","5.65217168719454","4.02599538407673","0.946155739146276","4.25510855930486","0.0000208947612282243","0.0000903654475031636","3553","UP","Interleukin 1 Beta","Protein Coding","P01584",56,"GC02M112829",7.839837551,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"17","IL6","235.32202465674","1.25093039244768","0.180313605534919","6.93752636544905","0.00000000000399024872384961","0.0000000000324147217170054","3569","UP","Interleukin 6","Protein Coding","P05231",60,"GC07P022725",12.21117973,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"18","ITGAV","8452.14805131363","1.31751391645687","0.0350937443326775","37.5427000313006","0","0","3685","UP","Integrin Subunit Alpha V","Protein Coding","P06756",56,"GC02P186589",10.73748589,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV"
