"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000187583",54.6921228768942,1.37496209198205,0.19528193446988,7.04090778143186,0.00000000000190991386724197,0.0000000000158709534291415,"PLEKHN1","84069","UP"
"ENSG00000187642",11.1317310422511,1.39904930678891,0.449855084132506,3.10999998918943,0.0018708735075011,0.00597857279309011,"PERM1","84808","UP"
"ENSG00000186827",151.75674240092,2.09995185084531,0.164751175469133,12.7462025376489,0.000000000000000000000000000000000000327304566671288,0.00000000000000000000000000000000000778766430753729,"TNFRSF4","7293","UP"
"ENSG00000260179",2.86127785994732,1.79727210990279,0.734036565048418,2.4484776310622,0.0143461337708147,0.037993618968308,NA,NA,"UP"
"ENSG00000179403",51.7878215776707,1.17605183242361,0.21754289055544,5.40606879600095,0.0000000644230600755733,0.000000368627315534681,"VWA1","64856","UP"
"ENSG00000231050",4.12110212557212,1.82181545894728,0.752714991206277,2.42032572783983,0.0155066100493977,0.040640041324625,"GNB1-DT","105378949","UP"
"ENSG00000182873",3.8331773066754,1.52238505234641,0.626422771195032,2.43028370351566,0.0150870081424362,0.0396704276300011,"PRKCZ-AS1","100506504","UP"
"ENSG00000162413",1368.48849693406,1.25753272468591,0.0528266537712984,23.804890806261,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297214554771097,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000318914102847589,"KLHL21","9903","UP"
"ENSG00000049249",130.987864380086,4.79888805049712,0.387826037729514,12.3738160505976,0.0000000000000000000000000000000000362195742609653,0.00000000000000000000000000000000081278930910089,"TNFRSF9","3604","UP"
"ENSG00000116285",564.926193811738,1.32237664927724,0.055119990188977,23.9908723630667,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000346299457094916,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000377074049242662,"ERRFI1","54206","UP"
"ENSG00000226849",3.64791314388956,-1.71037679444416,0.732584576085195,-2.33471581340699,0.0195582716151301,0.0498691931919294,NA,NA,"DOWN"
"ENSG00000028137",881.520695433006,-1.0087641122078,0.0556848357869392,-18.1155982226027,0.00000000000000000000000000000000000000000000000000000000000000000000000024004910553439,0.0000000000000000000000000000000000000000000000000000000000000000000000130050133057161,"TNFRSF1B","7133","DOWN"
"ENSG00000272482",1.46110567777031,2.8525644013222,1.14995563152931,2.48058648795746,0.0131166438808909,0.0350284277326584,NA,NA,"UP"
"ENSG00000224321",4.12392030215121,2.46860293589115,0.646734967753645,3.81702406546153,0.000135071000015226,0.000521181641241296,NA,NA,"UP"
"ENSG00000127472",1.01716909785573,3.64906794633765,1.29176582026463,2.82486801329835,0.00473000956551513,0.0139607599727796,"PLA2G5","5322","UP"
"ENSG00000189410",72.9768564010352,1.12517484892816,0.155276345158827,7.24627339584307,0.000000000000428394960667574,0.00000000000373540126650732,"SH2D5","400745","UP"
"ENSG00000162551",7.0617520541559,2.61649283245924,0.646706695439343,4.04587249662185,0.0000521286019833718,0.000213656706515937,"ALPL","249","UP"
"ENSG00000117643",49.0096597700155,-2.22423346127957,0.185596058719379,-11.9842709841302,0.00000000000000000000000000000000429607025732544,0.0000000000000000000000000000000904384161599253,"MAN1C1","57134","DOWN"
"ENSG00000126709",4850.97668322835,1.01808317798507,0.364559273403108,2.79264101138179,0.00522796756082379,0.0152754785147983,"IFI6","2537","UP"
"ENSG00000169403",12.0174044683843,1.16246237335982,0.466207676823911,2.49344322530082,0.0126510814653801,0.0339203668984426,"PTAFR","5724","UP"
"ENSG00000270605",6.43423499030201,-1.69974406164758,0.523821445427398,-3.24489208390604,0.00117495141738265,0.00390191197863974,NA,NA,"DOWN"
