"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ABCG2","143.408564325036","-2.65000398420752","0.136839734951631","-19.3657491747131","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000150154702327705","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000973319513270264","9429","DOWN","ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)","Protein Coding","Q9UNQ0",59,"GC04M088090",5.937819004,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2"
"2","ADAM12","77.2050082650359","1.20435155058036","0.165505995190368","7.27678504452418","0.000000000000341869328817185","0.00000000000300464399370777","8038","UP","ADAM Metallopeptidase Domain 12","Protein Coding","O43184",53,"GC10M126012",5.064745426,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM12"
"3","ALDH1A1","972.603251058125","-1.59039587950848","0.0515427746858462","-30.8558452509","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000467638894465471","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012605719662518","216","DOWN","Aldehyde Dehydrogenase 1 Family Member A1","Protein Coding","P00352",56,"GC09M072900",6.208352566,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1A1"
"4","BMP4","821.878839771227","-1.50760379590984","0.0540460947131688","-27.8947776691532","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030870884718451","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000509231370012419","652","DOWN","Bone Morphogenetic Protein 4","Protein Coding","P12644",58,"GC14M053949",11.58388138,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"5","CCL2","3948.66296024455","3.28256537032028","0.0776554000498869","42.2709221536624","0","0","6347","UP","C-C Motif Chemokine Ligand 2","Protein Coding","P13500",58,"GC17P034255",9.114230156,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"6","CCL5","429.368049719751","3.90101587001783","0.495638557147951","7.87068684176915","0.00000000000000352699487380405","0.0000000000000347109059174375","6352","UP","C-C Motif Chemokine Ligand 5","Protein Coding","P13501",52,"GC17M035871",6.93969202,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"7","CD274","516.46688414338","1.35643047877975","0.0654691107522272","20.7186330040936","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235270585908945","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173927124780312","29126","UP","CD274 Molecule","Protein Coding","Q9NZQ7",54,"GC09P005450",13.80941105,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"8","CD36","12.5003752533021","-2.41051117955916","0.391516977359197","-6.15684968712771","0.000000000742062175640249","0.00000000508921574010303","948","DOWN","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671",59,"GC07P080369",8.76325798,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"9","CD44","7964.28243408021","1.24104363897519","0.0411005848296716","30.1952793158128","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273191102449398","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000670957347615721","960","UP","CD44 Molecule (IN Blood Group)","Protein Coding","P16070",57,"GC11P035139",16.83000565,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"10","CDKL2","10.2900251179172","-1.23821244355765","0.414121194212294","-2.98997602842539","0.00278999341553442","0.00861553708535525","8999","DOWN","Cyclin Dependent Kinase Like 2","Protein Coding","Q92772",43,"GC04M075576",6.369935513,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKL2"
"11","CLDN1","64.4699995427922","3.50692436977815","0.263805374315003","13.2936047223611","0.000000000000000000000000000000000000000252132679662407","0.00000000000000000000000000000000000000644293728469114","9076","UP","Claudin 1","Protein Coding","O95832",55,"GC03M190305",10.10890961,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN1"
"12","CLDN10","2.14652970286525","-2.04458324097466","0.84986593328121","-2.40577149984212","0.016138355295274","0.0420992816192487","9071","DOWN","Claudin 10","Protein Coding","P78369",48,"GC13P095433",5.491168022,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN10"
"13","CLDN14","159.568089211092","1.67340023225856","0.152053115394792","11.0053663018593","0.000000000000000000000000000360049734748688","0.00000000000000000000000000649676680562041","23562","UP","Claudin 14","Protein Coding","O95500",50,"GC21M036460",5.545304298,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN14"
"14","CLDN16","1.60542623490488","3.00963541709921","1.22232563731863","2.46222064334782","0.0138079692552025","0.0366928771840581","10686","UP","Claudin 16","Protein Coding","Q9Y5I7",50,"GC03P190290",5.435787678,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN16"
"15","CLU","6727.86182511365","-1.34949036834527","0.0405554031851473","-33.2752299905504","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000881281040850216","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000319341575851691","1191","DOWN","Clusterin","Protein Coding","P10909",56,"GC08M027596",7.239677906,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU"
"16","CXCL1","2958.19123306632","2.3915926995367","0.0865356574863012","27.6370778128692","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000399085706555922","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000634632407029647","2919","UP","C-X-C Motif Chemokine Ligand 1","Protein Coding","P09341",52,"GC04P073869",6.900939465,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL1"
"17","CXCL5","1019.14130846041","3.56136499216546","0.231762901864248","15.366415261108","0.0000000000000000000000000000000000000000000000000000274967906598282","0.000000000000000000000000000000000000000000000000000966278315969545","6374","UP","C-X-C Motif Chemokine Ligand 5","Protein Coding","P42830",48,"GC04M073995",5.942178249,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL5"
"18","CXCL8","7531.69583489707","3.56976873293014","0.12443538749441","28.6877294699669","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000542771645388565","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000991522681790813","3576","UP","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145",53,"GC04P073740",10.736866,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"19","DLL4","1176.31581220001","-1.2673223280963","0.0551477444220358","-22.9804925183832","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730541563397974","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000702082205102122","54567","DOWN","Delta Like Canonical Notch Ligand 4","Protein Coding","Q9NR61",56,"GC15P040929",8.149978638,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLL4"
"20","EGR1","329.991431381277","2.70590518726359","0.176482054472323","15.3324664955549","0.0000000000000000000000000000000000000000000000000000464026794012708","0.00000000000000000000000000000000000000000000000000161525169367825","1958","UP","Early Growth Response 1","Protein Coding","P18146",53,"GC05P138465",7.642358303,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR1"
"21","ESR2","11.3105318578677","-1.69952008780252","0.362634547235477","-4.68659177885479","0.00000277792275407713","0.0000133630477815279","2100","DOWN","Estrogen Receptor 2","Protein Coding","Q92731",58,"GC14M064084",6.826423168,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"22","FGF2","244.167936546236","-1.40964442777694","0.0985340029410833","-14.3061723435697","0.000000000000000000000000000000000000000000000200234818155886","0.00000000000000000000000000000000000000000000609640553790317","2247","DOWN","Fibroblast Growth Factor 2","Protein Coding","P09038",54,"GC04P122826",8.500448227,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"23","FOSL1","1287.85095577259","1.00264996917015","0.0815970002807822","12.287828789293","0.000000000000000000000000000000000105296258496094","0.00000000000000000000000000000000233447191353829","8061","UP","FOS Like 1, AP-1 Transcription Factor Subunit","Protein Coding","P15407",54,"GC11M125414",7.579336166,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSL1"
"24","FZD7","7.77668946993889","1.16307673158472","0.413803967953251","2.8106949707068","0.00494346274173682","0.0145229001120881","8324","UP","Frizzled Class Receptor 7","Protein Coding","O75084",53,"GC02P203700",11.07192516,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD7"
"25","GDF15","2971.87756744499","1.81844647470343","0.0408999606357731","44.4608367938851","0","0","9518","UP","Growth Differentiation Factor 15","Protein Coding","Q99988",52,"GC19P112633",10.10406399,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF15"
"26","GREM1","17.5115166385046","3.64393894000317","0.857878143827127","4.24761834326143","0.000021605504413107","0.0000932567993648342","26585","UP","Gremlin 1, DAN Family BMP Antagonist","Protein Coding","O60565",52,"GC15P156897",9.46946907,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM1"
"27","HBEGF","683.296194794383","1.70700535297273","0.0664206610517574","25.6999151460202","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117143774461413","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151423742145911","1839","UP","Heparin Binding EGF Like Growth Factor","Protein Coding","Q99075",53,"GC05M140332",8.471229553,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBEGF"
"28","ID2","67.8306842581902","1.04508951305074","0.142819287048657","7.31756567790935","0.000000000000252509561798079","0.00000000000224065489923112","3398","UP","Inhibitor Of DNA Binding 2","Protein Coding","Q02363",51,"GC02P008678",9.609742165,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID2"
"29","IGF1","1.61669811557147","2.99860313617836","1.12518072511281","2.66499689272382","0.00769890341413083","0.0217117327208405","3479","UP","Insulin Like Growth Factor 1","Protein Coding","P05019",57,"GC12M102395",8.079705238,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"30","IL1A","79.8782752484294","1.26734073734246","0.160656995002521","7.8884877519499","0.00000000000000305870239792943","0.0000000000000301828383052822","3552","UP","Interleukin 1 Alpha","Protein Coding","P01583",54,"GC02M112773",5.440078735,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"31","IL1B","5.65217168719454","4.02599538407673","0.946155739146276","4.25510855930486","0.0000208947612282243","0.0000903654475031636","3553","UP","Interleukin 1 Beta","Protein Coding","P01584",56,"GC02M112829",12.41050529,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"32","IL6","235.32202465674","1.25093039244768","0.180313605534919","6.93752636544905","0.00000000000399024872384961","0.0000000000324147217170054","3569","UP","Interleukin 6","Protein Coding","P05231",60,"GC07P022725",15.8444252,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"33","ITGAV","8452.14805131363","1.31751391645687","0.0350937443326775","37.5427000313006","0","0","3685","UP","Integrin Subunit Alpha V","Protein Coding","P06756",56,"GC02P186589",5.55506897,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV"
"34","ITGB4","121.853657439755","-1.32595862014918","0.121881768817672","-10.8790562609305","0.00000000000000000000000000145056960622482","0.0000000000000000000000000256823081435728","3691","DOWN","Integrin Subunit Beta 4","Protein Coding","P16144",58,"GC17P075721",6.373535156,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB4"
"35","JAG1","2664.7974191641","1.72258186713408","0.0602729879185472","28.5796660597276","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120245847881337","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214347921094281","182","UP","Jagged Canonical Notch Ligand 1","Protein Coding","P78504",59,"GC20M010637",12.39995003,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1"
"36","JUNB","1335.16085272854","1.57568558805847","0.0528045028843735","29.8399852661952","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118408725933229","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026437439172001","3726","UP","JunB Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P17275",49,"GC19P012791",6.930695057,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUNB"
"37","KIT","1910.39409195064","-1.00812537298008","0.10967272950305","-9.19212440091631","0.000000000000000000038515829528352","0.000000000000000000495838029059227","3815","DOWN","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721",62,"GC04P054657",9.140636444,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
