"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","AIRE","8.53284459071328","2.37143998457646","0.639039039778344","3.71094696405248","0.000206485365813251","0.000775425165806336","326","UP","Autoimmune Regulator","Protein Coding","O43918",53,"GC21P044285",6.268417835,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"2","BDNF-AS","7.67157651292226","-1.25957293957902","0.442517444991262","-2.84638030395365","0.00442193497577868","0.0131427256561264","497258","DOWN","BDNF Antisense RNA","RNA Gene","",29,"GC11P027466",17.09250832,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"3","CCL2","3948.66296024455","3.28256537032028","0.0776554000498869","42.2709221536624","0","0","6347","UP","C-C Motif Chemokine Ligand 2","Protein Coding","P13500",58,"GC17P034255",22.35033417,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"4","CCL20","205.682870453864","4.247416378603","0.250011554809896","16.9888803012831","0.0000000000000000000000000000000000000000000000000000000000000000992660461817316","0.00000000000000000000000000000000000000000000000000000000000000448706888507361","6364","UP","C-C Motif Chemokine Ligand 20","Protein Coding","P78556",51,"GC02P227846",7.572256565,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL20"
"5","CCL5","429.368049719751","3.90101587001783","0.495638557147951","7.87068684176915","0.00000000000000352699487380405","0.0000000000000347109059174375","6352","UP","C-C Motif Chemokine Ligand 5","Protein Coding","P13501",52,"GC17M035871",13.23046017,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"6","CCL7","3.99411736884735","2.33041446684074","0.813291348830861","2.86541160211627","0.00416467530537571","0.0124301453158655","6354","UP","C-C Motif Chemokine Ligand 7","Protein Coding","P80098",52,"GC17P034270",5.845461845,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL7"
"7","CCR4","14.6333803805246","2.1282754566197","0.750435165583814","2.83605507074547","0.00456745694911327","0.0135370164123357","1233","UP","C-C Motif Chemokine Receptor 4","Protein Coding","P51679",54,"GC03P032951",5.134625912,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR4"
"8","CD274","516.46688414338","1.35643047877975","0.0654691107522272","20.7186330040936","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235270585908945","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173927124780312","29126","UP","CD274 Molecule","Protein Coding","Q9NZQ7",54,"GC09P005450",8.153817177,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"9","CD36","12.5003752533021","-2.41051117955916","0.391516977359197","-6.15684968712771","0.000000000742062175640249","0.00000000508921574010303","948","DOWN","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671",59,"GC07P080369",6.206733704,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"10","CD44","7964.28243408021","1.24104363897519","0.0411005848296716","30.1952793158128","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273191102449398","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000670957347615721","960","UP","CD44 Molecule (IN Blood Group)","Protein Coding","P16070",57,"GC11P035139",6.200852394,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"11","CD69","76.881129746469","4.62450768508631","0.480164496741449","9.63109042103219","0.000000000000000000000590989659378794","0.0000000000000000000082888549688508","969","UP","CD69 Molecule","Protein Coding","Q07108",51,"GC12M029488",5.029752731,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD69"
"12","CD8A","1.03558766982111","-3.69246654192423","1.19370262605722","-3.09328844665476","0.00197951630946715","0.00629934185206764","925","DOWN","CD8 Subunit Alpha","Protein Coding","P01732",56,"GC02M086784",8.017273903,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
