"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000227232",98.8416405104879,-0.355983514882827,0.12294339191855,-2.89550751225951,0.00378545969120124,0.0283983339468214,NA,NA,"DOWN"
"ENSG00000237973",237.51136856988,-0.489287123435656,0.110886925996545,-4.41248703612636,0.0000102189915252078,0.000217670180978076,"MTCO1P12","107075141","DOWN"
"ENSG00000248527",1610.13355730389,-0.460772105689849,0.0789054882289851,-5.83954444781686,0.00000000523437508171869,0.000000267440047779906,"MTATP6P1","106480796","DOWN"
"ENSG00000187961",459.403542505454,-0.215743841466125,0.0567632437157303,-3.80076661134039,0.000144249119598706,0.0020446149403765,"KLHL17","339451","DOWN"
"ENSG00000188290",440.747290952196,0.394437871543755,0.080662847372427,4.88995720325373,0.00000100857903182182,0.0000296459784650243,"HES4","57801","UP"
"ENSG00000188157",16077.7972652838,-0.119724198804426,0.0381218630278472,-3.14056526348069,0.00168622132511033,0.0151474285974718,"AGRN","375790","DOWN"
"ENSG00000162572",59.5556263833097,-0.462950202271467,0.170112985596583,-2.72142776548133,0.00650005891841675,0.0421435101628715,"SCNN1D","6339","DOWN"
"ENSG00000131584",868.170281785774,-0.295544812226266,0.0472830643354723,-6.25054269176341,0.00000000040902890515613,0.0000000271140324672247,"ACAP3","116983","DOWN"
"ENSG00000169972",181.938166485259,-0.249921300639576,0.083414030121388,-2.99615424738355,0.00273408096079695,0.0220832201228348,"PUSL1","126789","DOWN"
"ENSG00000127054",1940.48203544779,-0.105672492990684,0.031486411187347,-3.35613012108375,0.000790413706590334,0.008280498905758,"INTS11","54973","DOWN"
"ENSG00000221978",2880.38893385318,-0.189427409290467,0.0283411458601616,-6.68383029483433,0.0000000000232776356525467,0.00000000203401567443475,"CCNL2","81669","DOWN"
"ENSG00000160072",649.2900422669,-0.321049260074677,0.0600659326057428,-5.34494756257198,0.0000000904432328712208,0.00000345143046731143,"ATAD3B","83858","DOWN"
"ENSG00000197785",820.804461419763,-0.14969418237268,0.045539316659518,-3.28714160319736,0.00101209927253476,0.0100419836853627,"ATAD3A","55210","DOWN"
"ENSG00000160075",1997.74644025059,-0.090715848247693,0.029656205108046,-3.05891626784983,0.00222139227830389,0.0187296007938791,"SSU72","29101","DOWN"
"ENSG00000197530",874.276352897044,-0.205173284501581,0.0537408822337107,-3.81782501465671,0.000134633359974386,0.00192592824519418,"MIB2","142678","DOWN"
"ENSG00000008130",1884.01019939664,-0.0892787942589133,0.0321764145345692,-2.77466571556614,0.00552584738111273,0.0374973440334228,"NADK","65220","DOWN"
"ENSG00000116151",53.3616466971736,-0.42799447745515,0.154574072269693,-2.76886331045486,0.00562522297499459,0.0380097997066968,"MORN1","79906","DOWN"
"ENSG00000157870",2018.79980934049,0.146338699429921,0.0321013222091456,4.55865021622784,0.0000051483434337633,0.000121064791541049,"PRXL2B","127281","UP"
"ENSG00000158109",2041.03285386543,0.169712847042425,0.0280133091234748,6.05829344524698,0.00000000137573256592175,0.0000000823244791101582,"TPRG1L","127262","UP"
"ENSG00000069424",138.720153320229,0.327636030486735,0.106415643303925,3.07883333985962,0.00207812900188285,0.017804760958193,"KCNAB2","8514","UP"
"ENSG00000158286",81.9205743531223,-0.409287548249693,0.14980909328829,-2.73206077992921,0.00629395287542146,0.0413122924759311,"RNF207","388591","DOWN"
"ENSG00000158292",242.132289069256,-0.370875280174044,0.0737018717175341,-5.03210124154568,0.000000485132936494401,0.0000153832153203039,"GPR153","387509","DOWN"
"ENSG00000215788",761.3024061476,-0.251259108330153,0.0527699394295197,-4.76140604000006,0.0000019224880292388,0.0000516887122406706,"TNFRSF25","8718","DOWN"
"ENSG00000171680",2490.15873877243,-0.17560418683245,0.0292317097291507,-6.00731836965844,0.00000000188616916997168,0.000000109461870433942,"PLEKHG5","57449","DOWN"
"ENSG00000049245",3584.64943683857,0.113287216062927,0.0258697074281327,4.37914562341473,0.0000119145498610577,0.000249297771854702,"VAMP3","9341","UP"
"ENSG00000142599",2884.63176140205,-0.0949220309484847,0.0318895622897541,-2.97658619726438,0.00291477131984679,0.0233227201498043,"RERE","473","DOWN"
"ENSG00000074800",19055.0252417313,-0.0805106326072445,0.025773404242423,-3.12378729057157,0.00178539474537716,0.0157983807762689,"ENO1","2023","DOWN"
"ENSG00000171621",1016.84597271951,0.301347598833229,0.046446687362175,6.4880321062173,0.0000000000869647511231988,0.00000000658832959371268,"SPSB1","80176","UP"
"ENSG00000120948",1960.96969800894,-0.110502974775941,0.0337624588540748,-3.27295400058234,0.00106429796819064,0.0104386724826555,"TARDBP","23435","DOWN"
"ENSG00000116649",1200.71758664073,-0.173074918777645,0.0448632102043924,-3.85783625356128,0.000114395241906128,0.00167232359816952,"SRM","6723","DOWN"
"ENSG00000132879",354.78620016093,-0.185283291784913,0.0630052918882836,-2.94075761308184,0.0032741062412008,0.0254048838967846,"FBXO44","93611","DOWN"
"ENSG00000177674",686.978374750287,0.180686412463562,0.0549947380664029,3.2855218302048,0.00101793654084867,0.0100906995347072,"AGTRAP","57085","UP"
"ENSG00000162458",8657.40917493125,0.0751135238230764,0.0217385607845014,3.45531263857306,0.000549655064255488,0.00613599341779381,"FBLIM1","54751","UP"
"ENSG00000116809",667.396647631696,-0.207982170547331,0.0498872987111581,-4.16904053577893,0.0000305884588901966,0.000551488756474013,"ZBTB17","7709","DOWN"
"ENSG00000142627",6094.66921244745,-0.0771094256306721,0.0289732861513219,-2.66139730329326,0.00778170751735969,0.0483714520719167,"EPHA2","1969","DOWN"
"ENSG00000142632",107.320692684507,-0.434749220046888,0.12587069460663,-3.45393517852239,0.000552470150437317,0.00615238120461658,"ARHGEF19","128272","DOWN"
"ENSG00000169991",900.242356471756,0.15624433631591,0.0402678466743432,3.88012643386421,0.000104402180342949,0.00154533313907046,"IFFO2","126917","UP"
"ENSG00000077549",5509.31817018926,0.0763004738369725,0.0248444162829791,3.07113167674807,0.00213249084012129,0.0181545058266423,"CAPZB","832","UP"
"ENSG00000070831",8108.22327728232,0.0717465445698044,0.016609081641595,4.31971773744104,0.0000156228896810527,0.000312836842188689,"CDC42","998","UP"
"ENSG00000184677",790.197641408571,-0.194255214778394,0.0465836032884802,-4.17003411211928,0.0000304554049313922,0.000550637408146007,"ZBTB40","9923","DOWN"
"ENSG00000133216",3234.7664765407,-0.251952394638931,0.033245117707318,-7.57862844274036,0.0000000000000349227061777827,0.00000000000492730548906533,"EPHB2","2048","DOWN"
"ENSG00000004487",2131.32732322273,-0.0964229886874386,0.0304127363056083,-3.17048054205032,0.0015218702507171,0.0139012834581986,"KDM1A","23028","DOWN"
"ENSG00000125944",2980.27580245298,0.0698939147253921,0.0254605350331009,2.74518640847586,0.0060476535202962,0.0401757509670131,"HNRNPR","10236","UP"
"ENSG00000088280",465.296281202008,-0.185772257409861,0.0579727653225376,-3.2044746593732,0.00135309200843263,0.0126696004679997,"ASAP3","55616","DOWN"
"ENSG00000117318",1644.80521390079,0.142368253447175,0.0401912719801904,3.54226792118812,0.000396702327579354,0.00469593462547063,"ID3","3399","UP"
"ENSG00000142676",10029.4560929309,0.0757025438761321,0.0269673630966924,2.80719118160341,0.00499755720468424,0.0346673126977171,"RPL11","6135","UP"
"ENSG00000117305",652.009546274726,0.139671436043046,0.0500117006010837,2.79277517789547,0.00522579982966989,0.0359425651075551,"HMGCL","3155","UP"
"ENSG00000169504",14878.3611753082,0.10597721166,0.0271359787927236,3.90541326957469,0.0000940644912712753,0.00141271270630951,"CLIC4","25932","UP"
"ENSG00000117643",49.0096597700155,-0.937522157086175,0.146351377166396,-6.40596744108701,0.00000000014941885081671,0.0000000107379089098607,"MAN1C1","57134","DOWN"
"ENSG00000117632",4010.62123248935,-0.109590832227187,0.033625903970455,-3.25911928861386,0.00111758665908983,0.0108780792595838,"STMN1","3925","DOWN"
"ENSG00000253368",476.517660801859,0.198070727940944,0.0611078263118869,3.2413315919636,0.00118972706624345,0.0114060017813463,"TRNP1","388610","UP"
