"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000160097",12.2606211291149,1.10609397497732,0.387720886029276,2.85280988162654,0.00433345387757458,0.0312883507902439,"FNDC5","252995","UP"
"ENSG00000187513",27.7146498960671,1.15342655318394,0.191506644469599,6.02290618363921,0.00000000171312753291487,0.000000100588177211692,"GJA4","2701","UP"
"ENSG00000116147",14.3083237506992,-1.93660852698685,0.456974624576585,-4.23789073360743,0.0000225629523988706,0.000425239760958616,"TNR","7143","DOWN"
"ENSG00000143851",10.4244225768813,1.4027816724922,0.528999463385516,2.65176388557111,0.00800725150069345,0.0494353756841287,"PTPN7","5778","UP"
"ENSG00000115461",121.20136895371,-1.34044735711788,0.246726174453546,-5.43293535875039,0.0000000554344933100106,0.00000225536262596469,"IGFBP5","3488","DOWN"
"ENSG00000144821",7.33098989136195,-1.1968951767334,0.439884033197843,-2.72093344246275,0.00650978670085138,0.0421887946364911,"MYH15","22989","DOWN"
"ENSG00000273486",10.133657865361,1.30041980560455,0.368760302785474,3.52646365615192,0.000421148963059311,0.00491788147523853,NA,NA,"UP"
"ENSG00000090539",11.1577236492667,-1.17933077549053,0.315101609507794,-3.74269994156077,0.000182053572275453,0.00245957930567015,"CHRD","8646","DOWN"
"ENSG00000090530",36.5078832242544,1.32312137232203,0.220226687390814,6.00799743209149,0.0000000018782881587407,0.00000010941739997452,"P3H2","55214","UP"
"ENSG00000168843",52.1539654706703,-1.18125667346841,0.178056719501546,-6.63415947893029,0.0000000000326356828050195,0.00000000277362935023183,"FSTL5","56884","DOWN"
"ENSG00000134516",18.4616933594598,-1.28060427676431,0.454198761388949,-2.81947989652855,0.00481015439494395,0.0338095815538587,"DOCK2","1794","DOWN"
"ENSG00000124721",83.8049971419891,-1.13262883250798,0.127671287874662,-8.87144518836453,0.000000000000000000722026849544305,0.000000000000000182033621625276,"DNAH8","1769","DOWN"
"ENSG00000172348",35.9468199996134,1.04688897861886,0.16990669871698,6.16155211374395,0.000000000720353557603132,0.0000000461596556765773,"RCAN2","10231","UP"
"ENSG00000240583",32.0672362755513,-1.16509080258588,0.183334510379194,-6.35499994068823,0.000000000208426701612309,0.0000000145699738367987,"AQP1","358","DOWN"
"ENSG00000135218",12.5003752533021,-1.28919061163424,0.320336402586546,-4.02448988383684,0.0000570989483745131,0.000928250240012301,"CD36","948","DOWN"
"ENSG00000129682",11.0569768637662,-1.16766359733407,0.427873815942536,-2.72899054306909,0.00635285257438315,0.0415923881402462,"FGF13","2258","DOWN"
"ENSG00000254198",13.4315461786938,1.08111280239007,0.335436946346873,3.22299858189176,0.00126856181749893,0.0120205808873947,NA,NA,"UP"
"ENSG00000110675",58.2606054614858,-1.26475619341234,0.15232177447355,-8.30318710364,0.000000000000000101355069013968,0.0000000000000192436988440224,"ELMOD1","55531","DOWN"
"ENSG00000185737",89.5164389395352,-1.02364846835757,0.131254395973916,-7.79896521378989,0.00000000000000624168656860788,0.000000000000950404928105154,"NRG3","10718","DOWN"
"ENSG00000182771",12.4267375326983,-1.06264409094522,0.326478411552406,-3.25486786673685,0.00113445133186885,0.0110004584065643,"GRID1","2894","DOWN"
"ENSG00000175899",168.7323502257,3.06495344146561,0.128265337988329,23.8954146890761,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000341807818055794,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000525666243388006,"A2M","2","UP"
"ENSG00000134548",10.9511046974271,2.45094025634761,0.678607040503065,3.61172241085309,0.000304170057458194,0.00377853902556508,"SPX","80763","UP"
"ENSG00000183395",10.4712367810267,1.27522327857329,0.355868515619262,3.58341135167358,0.000339135894303108,0.00412298096323123,"PMCH","5367","UP"
"ENSG00000133110",8.82350728816841,2.56788678400349,0.415969028667779,6.17326437073366,0.000000000668942161998555,0.0000000430446088258401,"POSTN","10631","UP"
"ENSG00000006210",1024.77031783746,1.02958229338883,0.240376060746307,4.2832147685266,0.0000184212203254935,0.000361351973706332,"CX3CL1","6376","UP"
"ENSG00000261707",7.91823479479219,1.78139671374401,0.534065601102552,3.33553913614058,0.000851341697543014,0.00878120990376527,NA,NA,"UP"
"ENSG00000271503",429.368049719751,1.58734635786945,0.523528237110276,3.0320167000564,0.00242925763652206,0.0201290696077978,"CCL5","6352","UP"
"ENSG00000159640",1146.41690193371,1.14932830023046,0.0560078584562397,20.5208399662068,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140267918761796,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107859016131883,"ACE","1636","UP"
"ENSG00000154856",8.24580635818662,-1.40898629929654,0.426792986792808,-3.30133423673278,0.000962261761221541,0.0096659853859086,"APCDD1","147495","DOWN"
"ENSG00000125848",19.8402623330495,-1.12836071119417,0.274206568288045,-4.11500248968823,0.0000387175235660426,0.000669030106654123,"FLRT3","23767","DOWN"
