"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexpressed"
"WP_COMPLEMENT_AND_COAGULATION_CASCADES","Wp complement and coagulation cascades","4/145","19/3544",0.0064464858490114,0.199481487917164,0.195410437143344,"TFPI/CLU/VWF/THBD",4,0.700097401072263,"DOWN.WP_COMPLEMENT_AND_COAGULATION_CASCADES"
"WP_VITAMIN_D_RECEPTOR_PATHWAY","Wp vitamin d receptor pathway","6/145","63/3544",0.0422703573014208,0.647264846178006,0.634055359521312,"CREG2/IGFBP5/SATB1/CRACR2B/LRP5/THBD",6,0.188917979457415,"DOWN.WP_VITAMIN_D_RECEPTOR_PATHWAY"
"WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION","Wp hematopoietic stem cell differentiation","3/145","20/3544",0.045911554174522,0.661666516044582,0.648163117757958,"CD34/CXCR4/LMO2",3,0.179360842483523,"DOWN.WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION"
"WP_GPCRS_CLASS_A_RHODOPSIN_LIKE","Wp gpcrs class a rhodopsin like","3/145","23/3544",0.0652964674747427,0.799881726565598,0.783557609696912,"HTR1D/CXCR4/HTR1B",3,0.0969742246296498,"DOWN.WP_GPCRS_CLASS_A_RHODOPSIN_LIKE"
"WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY","Wp pluripotent stem cell differentiation pathway","2/145","14/3544",0.109735478396677,0.820695827489559,0.803946933050997,"KIT/BMP4",2,0.0858177745734233,"DOWN.WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY"
"WP_SPINAL_CORD_INJURY","Wp spinal cord injury","4/145","58/3544",0.211708495864845,0.879587218710193,0.861636459144678,"BTG2/SEMA6A/EFNB2/XYLT1",4,0.05572109000243,"DOWN.WP_SPINAL_CORD_INJURY"
"WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","Wp glucocorticoid receptor pathway","3/145","39/3544",0.212620125201599,0.879587218710193,0.861636459144678,"ENC1/AMIGO2/THBD",3,0.05572109000243,"DOWN.WP_GLUCOCORTICOID_RECEPTOR_PATHWAY"
"WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","Wp overview of proinflammatory and profibrotic mediators","2/145","26/3544",0.288159417895689,0.879587218710193,0.861636459144678,"IL33/CCL14",2,0.05572109000243,"DOWN.WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS"
"WP_PI3K_AKT_SIGNALING_PATHWAY","Wp pi3k akt signaling pathway","8/145","160/3544",0.330839369694048,0.879587218710193,0.861636459144678,"KIT/COL1A2/NOS3/IGF2/CREB3L1/VWF/EIF4B/ITGB4",8,0.05572109000243,"DOWN.WP_PI3K_AKT_SIGNALING_PATHWAY"
"WP_RANKL_RANK_SIGNALING_PATHWAY","Wp rankl rank signaling pathway","2/145","30/3544",0.349235375470233,0.879587218710193,0.861636459144678,"MAP2K6/TNFRSF11A",2,0.05572109000243,"DOWN.WP_RANKL_RANK_SIGNALING_PATHWAY"
"WP_CKAP4_SIGNALING_PATHWAY_MAP","Wp ckap4 signaling pathway map","4/145","74/3544",0.359021707114705,0.879587218710193,0.861636459144678,"ABCG2/PTCH1/WASF3/ITGB4",4,0.05572109000243,"DOWN.WP_CKAP4_SIGNALING_PATHWAY_MAP"
"WP_BURN_WOUND_HEALING","Wp burn wound healing","2/145","37/3544",0.451208546517957,0.879587218710193,0.861636459144678,"CXCR4/COL1A2",2,0.05572109000243,"DOWN.WP_BURN_WOUND_HEALING"
"WP_CYTOSOLIC_DNA_SENSING_PATHWAY","Wp cytosolic DNA sensing pathway","2/145","38/3544",0.465059799273089,0.879587218710193,0.861636459144678,"IL33/RNF125",2,0.05572109000243,"DOWN.WP_CYTOSOLIC_DNA_SENSING_PATHWAY"
"WP_LDL_INFLUENCE_ON_CD14_AND_TLR4","Wp ldl influence on cd14 and tlr4","1/145","16/3544",0.488212083099015,0.879587218710193,0.861636459144678,"CREB3L1",1,0.05572109000243,"DOWN.WP_LDL_INFLUENCE_ON_CD14_AND_TLR4"
"WP_ANTIVIRAL_AND_ANTI_INFLAMMATORY_EFFECTS_OF_NRF2_ON_SARS_COV_2_PATHWAY","Wp antiviral and anti inflammatory effects of nrf2 on sars cov 2 pathway","1/145","17/3544",0.509246450431963,0.879587218710193,0.861636459144678,"GUCY1A2",1,0.05572109000243,"DOWN.WP_ANTIVIRAL_AND_ANTI_INFLAMMATORY_EFFECTS_OF_NRF2_ON_SARS_COV_2_PATHWAY"
"WP_VITAMIN_B12_METABOLISM","Wp vitamin b12 metabolism","1/145","18/3544",0.52942202873856,0.879587218710193,0.861636459144678,"ABCA1",1,0.05572109000243,"DOWN.WP_VITAMIN_B12_METABOLISM"
"WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R","Wp signal transduction through il1r","1/145","19/3544",0.548773646955494,0.879587218710193,0.861636459144678,"MAP2K6",1,0.05572109000243,"DOWN.WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R"
"WP_ACUTE_VIRAL_MYOCARDITIS","Wp acute viral myocarditis","2/145","45/3544",0.555952253858872,0.879587218710193,0.861636459144678,"CXCR4/CXADR",2,0.05572109000243,"DOWN.WP_ACUTE_VIRAL_MYOCARDITIS"
"WP_NUCLEAR_RECEPTORS_META_PATHWAY","Wp nuclear receptors meta pathway","6/145","147/3544",0.563414916762144,0.879587218710193,0.861636459144678,"GSTM2/HES1/ENC1/PDK4/AMIGO2/THBD",6,0.05572109000243,"DOWN.WP_NUCLEAR_RECEPTORS_META_PATHWAY"
"WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARS_COV_2","Wp extrafollicular and follicular B cell activation by sars cov 2","1/145","21/3544",0.585137359814494,0.879587218710193,0.861636459144678,"CXCR4",1,0.05572109000243,"DOWN.WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARS_COV_2"
"WP_MITOCHONDRIAL_IMMUNE_RESPONSE_TO_SARS_COV_2","Wp mitochondrial immune response to sars cov 2","1/145","23/3544",0.618589154688352,0.879587218710193,0.861636459144678,"ACE",1,0.05572109000243,"DOWN.WP_MITOCHONDRIAL_IMMUNE_RESPONSE_TO_SARS_COV_2"
"WP_CHEMOKINE_SIGNALING_PATHWAY","Wp chemokine signaling pathway","3/145","78/3544",0.626228084059472,0.879587218710193,0.861636459144678,"PRKACB/VAV3/CXCR4",3,0.05572109000243,"DOWN.WP_CHEMOKINE_SIGNALING_PATHWAY"
"WP_HOST_PATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING","Wp host pathogen interaction of human coronaviruses mapk signaling","1/145","24/3544",0.634296218752592,0.879587218710193,0.861636459144678,"MAP2K6",1,0.05572109000243,"DOWN.WP_HOST_PATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING"
