,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,ENTREZID,diffexpressed
ENSG00000175899,168.7323502,-1.384119905,0.16149551,-8.570640149,1.02911E-17,5.92198E-17,A2M,2,DOWN
ENSG00000245105,8.662595646,-2.116764678,0.487143214,-4.345261552,1.3911E-05,4.30707E-05,A2M-AS1,144571,DOWN
ENSG00000128274,279.9899675,1.051151618,0.072867426,14.42553512,3.57486E-47,4.17847E-46,A4GALT,53947,UP
ENSG00000129673,6.43799797,3.366559085,0.581816487,5.786290283,7.19578E-09,2.7939E-08,AANAT,15,UP
ENSG00000179869,1.509718599,4.430844138,1.138914536,3.890409684,0.000100075,0.000287238,ABCA13,154664,UP
ENSG00000154262,143.6496374,-1.871895805,0.123009309,-15.21751338,2.70623E-52,3.45213E-51,ABCA6,23460,DOWN
ENSG00000064687,390.3097707,-1.382861248,0.071120652,-19.44387749,3.28383E-84,6.35206E-83,ABCA7,10347,DOWN
ENSG00000141338,4.999919303,-2.675406053,0.723152454,-3.69964319,0.000215903,0.000602541,ABCA8,10351,DOWN
ENSG00000154258,18.94426587,-3.345213431,0.383441773,-8.72417579,2.68126E-18,1.57127E-17,ABCA9,10350,DOWN
ENSG00000231749,5.119752387,-5.458917395,0.920404858,-5.930995854,3.01103E-09,1.19424E-08,ABCA9-AS1,104355297,DOWN
ENSG00000005471,3.028262321,1.481037872,0.654206548,2.263868921,0.023582178,0.049205643,ABCB4,5244,UP
ENSG00000091262,10.41806933,-1.206926631,0.372593002,-3.239262749,0.001198391,0.003062685,ABCC6,368,DOWN
ENSG00000160179,780.9487435,2.413421144,0.088378686,27.30772834,3.4337E-164,1.335E-162,ABCG1,9619,UP
ENSG00000118777,143.4085643,-4.313315926,0.190074167,-22.69280453,5.2764E-114,1.3683E-112,ABCG2,9429,DOWN
ENSG00000158201,70.98665822,1.074433681,0.135579432,7.924754272,2.28598E-15,1.20095E-14,ABHD3,171586,UP
ENSG00000154175,939.8039073,1.55092814,0.051326078,30.21715689,1.4098E-200,7.0337E-199,ABI3BP,25890,UP
ENSG00000099204,2672.773897,-1.524664936,0.041140836,-37.05964882,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125570295998823,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105833336259865,ABLIM1,3983,DOWN
ENSG00000163995,8.248067478,-2.551330476,0.544808594,-4.682985002,2.82727E-06,9.24495E-06,ABLIM2,84448,DOWN
ENSG00000166016,82.32757661,4.230082518,0.176691678,23.94047398,1.1612E-126,3.3583E-125,ABTB2,25841,UP
ENSG00000151136,114.6978521,1.331363489,0.119536852,11.13768241,8.22314E-29,6.5894E-28,ABTB3,121551,UP
ENSG00000159640,1146.416902,-2.915389311,0.073423612,-39.70642756,0,0,ACE,1636,DOWN
ENSG00000087085,276.8967212,6.608058293,0.178070178,37.10929238,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198961051236281,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168289671975806,ACHE,43,UP
ENSG00000213088,4.8073511,5.797588978,0.937014627,6.187298267,6.12041E-10,2.51061E-09,ACKR1,2532,UP
ENSG00000144476,434.8354939,2.930630539,0.097026405,30.2044637,2.0695E-200,1.0239E-198,ACKR3,57007,UP
ENSG00000177465,13.68994074,1.943020746,0.327870401,5.926185295,3.10053E-09,1.22882E-08,ACOT4,122970,UP
ENSG00000102575,30.89707712,-7.085743603,0.830132549,-8.535677355,1.39337E-17,7.98108E-17,ACP5,54,DOWN
ENSG00000183760,6.753928216,2.295287883,0.510863076,4.492961012,7.02396E-06,2.22256E-05,ACP7,390928,UP
ENSG00000151726,733.098022,1.180988545,0.039646596,29.78789268,5.6058E-195,2.6564E-193,ACSL1,2180,UP
ENSG00000123983,4051.596614,1.658970709,0.022462405,73.85543678,0,0,ACSL3,2181,UP
ENSG00000197142,135.5508138,2.540291567,0.135516795,18.74521579,2.11811E-78,3.8215E-77,ACSL5,51703,UP
ENSG00000005187,47.42001487,-3.265716048,0.267159253,-12.22385528,2.31824E-34,2.0969E-33,ACSM3,6296,DOWN
ENSG00000215009,7.770080936,-1.955338107,0.546723355,-3.576467131,0.000348269,0.000948068,ACSM4,341392,DOWN
ENSG00000154930,449.1637266,-1.10799187,0.072371349,-15.30981361,6.57521E-53,8.46989E-52,ACSS1,84532,DOWN
ENSG00000180139,2.248129742,1.999247737,0.72619173,2.753057704,0.005904149,0.013700296,ACTA2-AS1,100132116,UP
ENSG00000077522,18.06901541,3.622643238,0.343588917,10.54353925,5.44118E-26,4.03667E-25,ACTN2,88,UP
ENSG00000140955,1.196780328,-2.956237349,1.183373316,-2.498144337,0.012484535,0.027488574,ADAD2,161931,DOWN
ENSG00000148848,77.20500827,2.663399512,0.155682359,17.10790825,1.2957E-65,1.9933E-64,ADAM12,8038,UP
ENSG00000008277,42.17935274,-1.076767017,0.17895217,-6.017066003,1.77607E-09,7.12449E-09,ADAM22,53616,DOWN
ENSG00000151651,79.70700159,4.688033114,0.228986717,20.47294785,3.75223E-93,8.04258E-92,ADAM8,101,UP
ENSG00000154734,202.4398603,1.041017455,0.075752229,13.74240028,5.65688E-43,6.12089E-42,ADAMTS1,9510,UP
ENSG00000151388,71.22614015,-2.536908852,0.176696074,-14.35747156,9.56537E-47,1.10653E-45,ADAMTS12,81792,DOWN
ENSG00000166106,1.220303655,-2.869181525,1.152047215,-2.49050689,0.012756102,0.028034202,ADAMTS15,170689,DOWN
ENSG00000140873,130.8471998,-1.891622606,0.125696415,-15.04913727,3.49766E-51,4.36264E-50,ADAMTS18,170692,DOWN
ENSG00000156140,36.34569125,3.338640157,0.225694171,14.79276201,1.6312E-49,1.97612E-48,ADAMTS3,9508,UP
ENSG00000158859,1800.604852,2.425249492,0.047396496,51.16938365,0,0,ADAMTS4,9507,UP
ENSG00000049192,575.222614,1.085238014,0.05196859,20.88257569,7.71205E-97,1.72182E-95,ADAMTS6,11174,UP
ENSG00000274376,2.157222772,-2.285029091,0.949273826,-2.407133779,0.016078279,0.034672393,ADAMTS7P1,390660,DOWN
ENSG00000261143,4.2498277,-2.503193803,0.639170452,-3.916316524,8.99122E-05,0.00025914,ADAMTS7P3,400406,DOWN
ENSG00000218052,1.087408494,3.051579682,1.151989677,2.648964434,0.008073883,0.018356027,ADAMTS7P4,642935,UP
ENSG00000241684,8.241815512,-1.144759494,0.407958963,-2.806065308,0.005015053,0.011770286,ADAMTS9-AS2,100507098,DOWN
ENSG00000178031,839.0576319,1.438291363,0.045090186,31.8981019,2.8369E-223,1.621E-221,ADAMTSL1,92949,UP
ENSG00000197859,1.074567798,4.792096935,1.382658103,3.465858208,0.000528542,0.001408749,ADAMTSL2,9719,UP
ENSG00000143382,84.5207303,-1.399454198,0.136136068,-10.27981941,8.68903E-25,6.22125E-24,ADAMTSL4,54507,DOWN
ENSG00000237781,10.77509008,-1.208943627,0.384461472,-3.144511777,0.001663642,0.004176627,ADAMTSL4-AS2,100289061,DOWN
ENSG00000105963,46.52292006,4.106009527,0.243395998,16.86966739,7.52187E-64,1.13207E-62,ADAP1,11033,UP
ENSG00000160710,6403.799347,1.188216168,0.051107637,23.2492878,1.4463E-119,3.9142E-118,ADAR,103,UP
ENSG00000189007,168.3014849,-1.054623516,0.10235523,-10.30356254,6.78992E-25,4.87482E-24,ADAT2,134637,DOWN
ENSG00000138031,845.2999021,1.094295344,0.042273706,25.88595733,9.5852E-148,3.3119E-146,ADCY3,109,UP
ENSG00000020181,1681.986592,-1.362537531,0.057645364,-23.63654993,1.6231E-123,4.5709E-122,ADGRA2,25960,DOWN
