Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,57,GC06P043770,53.46389389,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
KDR,Kinase Insert Domain Receptor,Protein Coding,P35968,62,GC04M055078,31.83763504,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,57,GC14P061695,28.16690063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
FGF2,Fibroblast Growth Factor 2,Protein Coding,P09038,54,GC04P122826,25.39114952,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2
FLT1,Fms Related Receptor Tyrosine Kinase 1,Protein Coding,P17948,59,GC13M028300,22.71863556,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1
THBS1,Thrombospondin 1,Protein Coding,P07996,54,GC15P039581,20.765131,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS1
ANGPT1,Angiopoietin 1,Protein Coding,Q15389,54,GC08M107246,19.65593338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1
ENG,Endoglin,Protein Coding,P17813,56,GC09M127815,19.03977394,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG
TEK,TEK Receptor Tyrosine Kinase,Protein Coding,Q02763,60,GC09P027109,18.79558182,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK
ANGPT2,Angiopoietin 2,Protein Coding,O15123,58,GC08M006499,17.67341614,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2
ADGRB1,Adhesion G Protein-Coupled Receptor B1,Protein Coding,O14514,44,GC08P142449,17.31456566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB1
MMP9,Matrix Metallopeptidase 9,Protein Coding,P14780,62,GC20P046008,16.60012245,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
VEGFC,Vascular Endothelial Growth Factor C,Protein Coding,P49767,55,GC04M176683,16.10963821,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFC
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,61,GC19M041301,15.83104134,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,62,GC14M104769,15.72160625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
MMP2,Matrix Metallopeptidase 2,Protein Coding,P08253,61,GC16P082389,14.56989002,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
FLT4,Fms Related Receptor Tyrosine Kinase 4,Protein Coding,P35916,61,GC05M182574,14.45879269,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4
PLG,Plasminogen,Protein Coding,P00747,58,GC06P160702,14.03099155,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,P35354,58,GC01M186671,13.98256302,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
TYMP,Thymidine Phosphorylase,Protein Coding,P19971,56,GC22M050525,13.54713917,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP
NOS3,Nitric Oxide Synthase 3,Protein Coding,P29474,59,GC07P158097,13.50579357,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,P10145,53,GC04P073740,13.02593422,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
ADGRB3,Adhesion G Protein-Coupled Receptor B3,Protein Coding,O60242,45,GC06P068635,12.97623253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB3
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,61,GC22M021759,12.53011703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
ADGRB2,Adhesion G Protein-Coupled Receptor B2,Protein Coding,O60241,47,GC01M031727,12.21539211,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB2
IL6,Interleukin 6,Protein Coding,P05231,60,GC07P022725,12.21117973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
HGF,Hepatocyte Growth Factor,Protein Coding,P14210,60,GC07M081699,12.14785671,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF
NRP1,Neuropilin 1,Protein Coding,O14786,56,GC10M033177,11.98106766,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1
