"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","Description","Category","Uniprot.ID","Gifts","GC.Id","Relevance.score","GeneCards.Link"
"1","ACE","1146.41690193371","-2.8953063169255","0.0730741669141771","-39.6214755390359","0","0","1636","DOWN","Angiotensin I Converting Enzyme","Protein Coding","P12821",60,"GC17P063477",9.331313133,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"2","ACE2","1.65605451503132","-2.69347187380688","1.07873670581749","-2.49687607669353","0.0125292733628874","0.0308158751527649","59272","DOWN","Angiotensin Converting Enzyme 2","Protein Coding","Q9BYF1",58,"GC0XM015494",8.079686165,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2"
"3","ADAR","6403.79934657056","1.35954826390275","0.0510712614460044","26.6206125599647","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000391918851360636","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000243391920348938","103","UP","Adenosine Deaminase RNA Specific","Protein Coding","P55265",54,"GC01M160957",7.043494225,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR"
"4","AIRE","8.53284459071328","4.01824851604357","0.605844922672023","6.63247039906096","0.0000000000330114558132919","0.000000000178801318737176","326","UP","Autoimmune Regulator","Protein Coding","O43918",53,"GC21P044285",6.268417835,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"5","B2M","26120.2551396187","2.04290028703004","0.036512623274771","55.9505207734996","0","0","567","UP","Beta-2-Microglobulin","Protein Coding","P61769",59,"GC15P044711",5.403986454,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"6","BANK1","9.41382368984858","1.57259828085776","0.411018034455395","3.82610530202519","0.000130186618220353","0.000432471002728337","55024","UP","B Cell Scaffold Protein With Ankyrin Repeats 1","Protein Coding","Q8NDB2",45,"GC04P101411",5.414735317,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANK1"
"7","BCL2","79.2158687727892","1.01685368607953","0.128912795294916","7.88791899014566","0.00000000000000307267105587489","0.0000000000000203857082506583","596","UP","BCL2 Apoptosis Regulator","Protein Coding","P10415",59,"GC18M063123",6.946388721,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"8","BDNF","28.0416124417952","1.21109610011827","0.221672929833319","5.46343706030736","0.0000000467002896900677","0.000000208845961037693","627","UP","Brain Derived Neurotrophic Factor","Protein Coding","P23560",58,"GC11M027654",7.907958031,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"9","BDNF-AS","7.67157651292226","-1.49655231860396","0.451005361215384","-3.31825837850575","0.000905806525443427","0.00268780688971953","497258","DOWN","BDNF Antisense RNA","RNA Gene","",29,"GC11P027466",17.09250832,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"10","C1R","231.14049244374","4.84861903997719","0.226110241905119","21.4436064422583","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523920593750285","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000183988126367753","715","UP","Complement C1r","Protein Coding","P00736",55,"GC12M029317",5.085259438,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1R"
"11","C1S","170.749000402751","7.4111297337801","0.399321223083374","18.5593184267913","0.0000000000000000000000000000000000000000000000000000000000000000000000000000685690485584139","0.00000000000000000000000000000000000000000000000000000000000000000000000000176655128485809","716","UP","Complement C1s","Protein Coding","P09871",55,"GC12P038999",5.379512787,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S"
"12","C3","14.6066020912031","5.33462703531088","0.520535911145976","10.2483362263451","0.00000000000000000000000120398058856273","0.0000000000000000000000110857346506016","718","UP","Complement C3","Protein Coding","P01024",58,"GC19M006677",10.19327736,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
"13","CASP1","335.184802081256","2.81765257529306","0.0927362171787387","30.3835185541626","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000906936300795551","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000829565494669543","834","UP","Caspase 1","Protein Coding","P29466",58,"GC11M105025",11.74625397,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"14","CCL17","0.870536003840767","4.08731963209507","1.32189265509323","3.09202083569093","0.0019879889493369","0.00562862042176384","6361","UP","C-C Motif Chemokine Ligand 17","Protein Coding","Q92583",48,"GC16P082516",6.863183975,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL17"
"15","CCL2","3948.66296024455","5.05113358167082","0.0771791509430017","65.446866413459","0","0","6347","UP","C-C Motif Chemokine Ligand 2","Protein Coding","P13500",58,"GC17P034255",22.35033417,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"16","CCL20","205.682870453864","6.87008153879093","0.245539913762818","27.9794899065867","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000288686708477106","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208979068507707","6364","UP","C-C Motif Chemokine Ligand 20","Protein Coding","P78556",51,"GC02P227846",7.572256565,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL20"
"17","CCL5","429.368049719751","8.85487321209192","0.487682135352325","18.1570588098224","0.000000000000000000000000000000000000000000000000000000000000000000000000112914209128995","0.00000000000000000000000000000000000000000000000000000000000000000000000279314719207039","6352","UP","C-C Motif Chemokine Ligand 5","Protein Coding","P13501",52,"GC17M035871",13.23046017,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"18","CCL7","3.99411736884735","3.1572890013181","0.788007438027467","4.00667411112438","0.0000615797354885128","0.000212832480637582","6354","UP","C-C Motif Chemokine Ligand 7","Protein Coding","P80098",52,"GC17P034270",5.845461845,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL7"
"19","CCR4","14.6333803805246","5.41958027750441","0.689950023016539","7.85503311357161","0.00000000000000399666546170888","0.0000000000000264194140702711","1233","UP","C-C Motif Chemokine Receptor 4","Protein Coding","P51679",54,"GC03P032951",5.134625912,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR4"
"20","CCR7","0.856805549247653","-3.48642090948932","1.32985832937836","-2.62164836093408","0.0087505666056672","0.0222403103147682","1236","DOWN","C-C Motif Chemokine Receptor 7","Protein Coding","P32248",53,"GC17M077631",7.280863762,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR7"
"21","CD274","516.46688414338","1.31745321673722","0.0652801319508189","20.1815342182484","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142261530387748","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000436003877353308","29126","UP","CD274 Molecule","Protein Coding","Q9NZQ7",54,"GC09P005450",8.153817177,"https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
