Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,61,GC19M041301,51.91604614,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
SNAI1,Snail Family Transcriptional Repressor 1,Protein Coding,O95863,53,GC20P049982,44.81835938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI1
TP53,Tumor Protein P53,Protein Coding,P04637,62,GC17M007661,44.35889435,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
CDH1,Cadherin 1,Protein Coding,P12830,58,GC16P068737,42.74744797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1
CTNNB1,Catenin Beta 1,Protein Coding,P35222,62,GC03P041194,41.50945282,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
ZEB1,Zinc Finger E-Box Binding Homeobox 1,Protein Coding,P37275,57,GC10P031318,37.2781601,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB1
SNAI2,Snail Family Transcriptional Repressor 2,Protein Coding,O43623,52,GC08M048917,36.21618652,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI2
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,62,GC14M104769,34.58628464,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,61,GC10P109367,32.66992188,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
TWIST1,Twist Family BHLH Transcription Factor 1,Protein Coding,Q15672,54,GC07M019020,32.18842316,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWIST1
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,61,GC03P179148,30.66204643,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,P01116,61,GC12M029682,29.72198868,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,63,GC17P039687,28.58756828,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
TGFBR1,Transforming Growth Factor Beta Receptor 1,Protein Coding,P36897,62,GC09P100712,27.79239464,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,63,GC07P055019,27.51935387,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,P01112,61,GC11M011817,27.50580025,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS
TUG1,Taurine Up-Regulated 1,Protein Coding,A0A6I8PU40,32,GC22P030969,25.3750248,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,61,GC22M021759,25.20475769,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,57,GC14P061695,24.8177433,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
VIM,Vimentin,Protein Coding,P08670,60,GC10P017227,24.66866684,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM
SMAD3,SMAD Family Member 3,Protein Coding,P84022,61,GC15P067063,23.74573517,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3
NOTCH1,Notch Receptor 1,Protein Coding,P46531,61,GC09M138715,23.2879467,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1
CCND1,Cyclin D1,Protein Coding,P24385,62,GC11P069641,23.13951111,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,60,GC09M021967,23.04533768,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,P49841,59,GC03M119821,22.43625832,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B
ZEB2,Zinc Finger E-Box Binding Homeobox 2,Protein Coding,O60315,56,GC02M144384,22.29799461,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB2
RB1,RB Transcriptional Corepressor 1,Protein Coding,P06400,57,GC13P048303,22.22665215,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1
SMAD2,SMAD Family Member 2,Protein Coding,Q15796,60,GC18M047809,22.14574432,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2
TGFBR2,Transforming Growth Factor Beta Receptor 2,Protein Coding,P37173,61,GC03P030623,21.8321209,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2
SMAD4,SMAD Family Member 4,Protein Coding,Q13485,61,GC18P051028,21.53615761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,64,GC01M011106,21.38002396,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
FBXW7,F-Box And WD Repeat Domain Containing 7,Protein Coding,Q969H0,54,GC04M152321,21.35573578,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW7
CDH2,Cadherin 2,Protein Coding,P19022,60,GC18M034101,21.00834465,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2
TGFB2,Transforming Growth Factor Beta 2,Protein Coding,P61812,60,GC01P218345,20.54065514,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q15910,61,GC07M148807,20.51143456,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,62,GC17M042313,20.50472069,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
MMP9,Matrix Metallopeptidase 9,Protein Coding,P14780,62,GC20P046008,20.41166306,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,P38936,58,GC06P134985,20.36967278,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A
LOXL2,Lysyl Oxidase Like 2,Protein Coding,Q9Y4K0,54,GC08M023296,20.21009827,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL2
FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,P11362,63,GC08M038400,20.06088448,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,P22607,63,GC04P003985,20.0404377,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,60,GC05P068215,20.03330231,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1
ERBB3,Erb-B2 Receptor Tyrosine Kinase 3,Protein Coding,P21860,63,GC12P060597,19.83178139,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3
MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,Q02750,63,GC15P066386,19.4920826,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P15056,62,GC07M140773,18.95644379,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF
MMP2,Matrix Metallopeptidase 2,Protein Coding,P08253,61,GC16P082389,18.03238487,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
EP300,E1A Binding Protein P300,Protein Coding,Q09472,61,GC22P070686,17.96122169,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300
FOXM1,Forkhead Box M1,Protein Coding,Q08050,52,GC12M002857,17.92145729,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXM1
SLC39A6,Solute Carrier Family 39 Member 6,Protein Coding,Q13433,49,GC18M036108,17.40147018,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A6
CDK1,Cyclin Dependent Kinase 1,Protein Coding,P06493,56,GC10P060772,17.39015579,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1
DICER1,"Dicer 1, Ribonuclease III",Protein Coding,Q9UPY3,57,GC14M095086,17.37332153,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1
ILK,Integrin Linked Kinase,Protein Coding,Q13418,53,GC11P010969,17.34063148,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILK
CD44,CD44 Molecule (IN Blood Group),Protein Coding,P16070,57,GC11P035139,16.83000565,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,P12931,60,GC20P037344,16.69110107,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
